"Target: Stephen_Raster1, Contains DAT files: APB_453330389ESC06290311330_______M1.DAT"
  485.3  ,     900
  509.7  ,       0
  534.1  ,       0
  558.5  ,       0
  582.9  ,       0
  607.3  ,     116
  631.7  ,       0
  656.1  ,       0
  680.5  ,      44
  704.9  ,     263
  729.3  ,     258
  753.6  ,     239
  778.0  ,     198
  802.4  ,     232
  826.8  ,     244
  851.2  ,     265
  875.6  ,     240
  900.0  ,     256
  924.4  ,     311
  948.8  ,     355
  973.2  ,     462
  997.6  ,     537
 1022.0  ,     572
 1046.4  ,     559
 1070.8  ,     622
 1095.2  ,     636
 1119.6  ,     752
 1144.0  ,    1252
 1168.4  ,    2223
 1192.8  ,    3360
 1217.2  ,    4511
 1241.5  ,    4997
 1265.9  ,    4684
 1290.3  ,    3528
 1314.7  ,    2331
 1339.1  ,    1327
 1363.5  ,     909
 1387.9  ,     971
 1412.3  ,    1287
 1436.7  ,    1718
 1461.1  ,    2092
 1485.5  ,    2118
 1509.9  ,    1845
 1534.3  ,    1473
 1558.7  ,    1103
 1583.1  ,    1064
 1607.5  ,    1507
 1631.9  ,    2677
 1656.3  ,    4720
 1680.7  ,    7183
 1705.1  ,    9359
 1729.4  ,   10238
 1753.8  ,    9332
 1778.2  ,    6933
 1802.6  ,    4662
 1827.0  ,    2599
 1851.4  ,    1385
 1875.8  ,     753
 1900.2  ,     473
 1924.6  ,     353
 1949.0  ,     303
 1973.4  ,     280
 1997.8  ,     289
 2022.2  ,     235
 2046.6  ,     208
 2071.0  ,     183
 2095.4  ,     128
 2119.8  ,     139
 2144.2  ,     151
 2168.6  ,     178
 2193.0  ,     251
 2217.3  ,     392
 2241.7  ,     516
 2266.1  ,     632
 2290.5  ,     767
 2314.9  ,     718
 2339.3  ,     635
 2363.7  ,     484
 2388.1  ,     284
 2412.5  ,     233
 2436.9  ,     192
 2461.3  ,     185
 2485.7  ,     237
 2510.1  ,     316
 2534.5  ,     494
 2558.9  ,     689
 2583.3  ,     883
 2607.7  ,    1043
 2632.1  ,     918
 2656.5  ,     764
 2680.9  ,     519
 2705.2  ,     347
 2729.6  ,     216
 2754.0  ,     179
 2778.4  ,     134
 2802.8  ,     122
 2827.2  ,     128
 2851.6  ,     126
 2876.0  ,     120
