"Target: Stephen_Raster4, Contains DAT files: APB_453334302ESC06290311330_______M1.DAT"
 7392.3  ,      52
 7416.7  ,      47
 7441.1  ,      63
 7465.5  ,      55
 7489.9  ,      52
 7514.3  ,      51
 7538.7  ,      46
 7563.1  ,      38
 7587.5  ,      38
 7611.9  ,      25
 7636.3  ,      17
 7660.7  ,      24
 7685.1  ,      19
 7709.5  ,      15
 7733.9  ,      15
 7758.3  ,      13
 7782.6  ,      23
 7807.0  ,      12
 7831.4  ,      16
 7855.8  ,      28
 7880.2  ,      16
 7904.6  ,      25
 7929.0  ,      25
 7953.4  ,      35
 7977.8  ,      35
 8002.2  ,      37
 8026.6  ,      20
 8051.0  ,      42
 8075.4  ,      31
 8099.8  ,      31
 8124.2  ,      27
 8148.6  ,      21
 8173.0  ,      31
 8197.3  ,      28
 8221.7  ,      30
 8246.1  ,      31
 8270.5  ,      38
 8294.9  ,      46
 8319.3  ,      35
 8343.7  ,      46
 8368.1  ,      64
 8392.5  ,      96
 8416.9  ,      93
 8441.3  ,     132
 8465.7  ,     217
 8490.1  ,     254
 8514.5  ,     398
 8538.9  ,     455
 8563.3  ,     576
 8587.7  ,     669
 8612.0  ,     672
 8636.4  ,     666
 8660.8  ,     575
 8685.2  ,     474
 8709.6  ,     428
 8734.0  ,     303
 8758.4  ,     198
 8782.8  ,     121
 8807.2  ,      85
 8831.6  ,      62
 8856.0  ,      29
 8880.4  ,      25
 8904.8  ,      26
 8929.2  ,      13
 8953.6  ,      18
 8978.0  ,      21
 9002.4  ,      15
 9026.7  ,      16
 9051.1  ,      11
 9075.5  ,      19
 9099.9  ,      27
 9124.3  ,       9
 9148.7  ,      20
 9173.1  ,      20
 9197.5  ,      23
 9221.9  ,      18
 9246.3  ,      13
 9270.7  ,       9
 9295.1  ,      35
 9319.5  ,      33
 9343.9  ,      31
 9368.3  ,      38
 9392.7  ,      39
 9417.1  ,      44
 9441.4  ,      61
 9465.8  ,      69
 9490.2  ,      76
 9514.6  ,     127
 9539.0  ,     112
 9563.4  ,     121
 9587.8  ,     103
 9612.2  ,      85
 9636.6  ,      92
 9661.0  ,      67
 9685.4  ,      65
 9709.8  ,      27
 9734.2  ,      32
 9758.6  ,      22
 9783.0  ,      21
 9807.4  ,      19
 9831.8  ,      21
 9856.1  ,      25
 9880.5  ,      23
 9904.9  ,      23
 9929.3  ,      16
 9953.7  ,      15
 9978.1  ,      20
10002.5  ,      16
10026.9  ,      17
10051.3  ,       9
10075.7  ,      12
10100.1  ,      13
10124.5  ,      18
10148.9  ,       7
10173.3  ,      13
10197.7  ,      16
10222.1  ,      13
10246.5  ,      14
10270.8  ,      12
10295.2  ,       8
10319.6  ,       6
10344.0  ,      16
10368.4  ,      11
10392.8  ,      16
10417.2  ,      18
10441.6  ,      14
10466.0  ,      17
10490.4  ,      10
10514.8  ,      12
10539.2  ,      19
10563.6  ,      15
10588.0  ,      11
10612.4  ,      15
10636.8  ,      15
10661.2  ,      12
10685.5  ,      14
10709.9  ,      12
10734.3  ,       7
10758.7  ,      19
10783.1  ,      14
10807.5  ,      15
10831.9  ,      14
10856.3  ,      20
10880.7  ,       7
10905.1  ,       9
10929.5  ,      18
10953.9  ,      20
10978.3  ,      15
11002.7  ,      11
11027.1  ,      13
11051.5  ,      16
11075.9  ,      11
11100.2  ,      10
11124.6  ,      14
11149.0  ,      14
11173.4  ,      21
11197.8  ,      14
11222.2  ,      12
11246.6  ,      15
11271.0  ,      19
11295.4  ,      15
11319.8  ,      16
11344.2  ,      14
11368.6  ,      17
11393.0  ,      30
11417.4  ,      30
11441.8  ,      19
11466.2  ,      31
11490.6  ,      38
11514.9  ,      35
11539.3  ,      40
11563.7  ,      43
11588.1  ,      31
11612.5  ,      59
11636.9  ,      56
11661.3  ,      80
11685.7  ,      83
11710.1  ,     124
11734.5  ,     163
11758.9  ,     210
11783.3  ,     259
11807.7  ,     341
11832.1  ,     372
11856.5  ,     445
11880.9  ,     482
11905.3  ,     414
11929.6  ,     467
11954.0  ,     397
11978.4  ,     335
12002.8  ,     274
12027.2  ,     225
12051.6  ,     162
12076.0  ,     111
12100.4  ,      85
12124.8  ,      63
12149.2  ,      40
12173.6  ,      50
12198.0  ,      38
12222.4  ,      28
12246.8  ,      26
12271.2  ,      24
12295.6  ,      23
12320.0  ,      20
12344.3  ,      20
12368.7  ,      19
12393.1  ,      16
12417.5  ,      20
12441.9  ,      14
12466.3  ,      17
12490.7  ,      25
12515.1  ,      14
12539.5  ,      13
12563.9  ,      24
12588.3  ,      23
12612.7  ,      18
12637.1  ,      33
12661.5  ,      27
12685.9  ,      35
12710.3  ,      32
12734.7  ,      28
12759.0  ,      29
12783.4  ,      30
12807.8  ,      32
12832.2  ,      30
12856.6  ,      30
12881.0  ,      37
12905.4  ,      37
12929.8  ,      34
12954.2  ,      46
12978.6  ,      42
13003.0  ,      55
13027.4  ,      46
13051.8  ,      64
13076.2  ,      74
13100.6  ,      63
13125.0  ,     106
13149.4  ,      96
13173.7  ,     124
13198.1  ,     133
13222.5  ,     148
13246.9  ,     142
13271.3  ,     190
13295.7  ,     206
13320.1  ,     189
13344.5  ,     192
13368.9  ,     194
13393.3  ,     208
13417.7  ,     198
13442.1  ,     194
13466.5  ,     198
