"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.32    ,  0.20  
MgO     , 17.26    ,  0.42  
Al2O3   ,  4.91    ,  0.19  
SiO2    , 34.64    ,  0.43  
P2O5    ,  0.74    ,  0.07  
SO3     ,  4.85    ,  0.15  
Cl      ,  3.12    ,  0.07  
K2O     ,  2.33    ,  0.07  
CaO     ,  4.43    ,  0.08  
TiO2    ,  0.94    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  3.16    ,  0.07  
FeO     , 20.96    ,  0.26  
Ni      ,  0.0837  ,  0.0055
Zn      ,  0.6777  ,  0.0205
Br      ,  0.1804  ,  0.0055
