"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.62    ,  0.20  
MgO     ,  6.07    ,  0.17  
Al2O3   ,  8.98    ,  0.29  
SiO2    , 46.00    ,  0.64  
P2O5    ,  0.93    ,  0.07  
SO3     ,  6.12    ,  0.17  
Cl      ,  1.34    ,  0.05  
K2O     ,  0.63    ,  0.02  
CaO     ,  6.20    ,  0.10  
TiO2    ,  0.97    ,  0.05  
Cr2O3   ,  0.44    ,  0.03  
MnO     ,  0.28    ,  0.03  
FeO     , 19.13    ,  0.20  
Ni      ,  0.0834  ,  0.0050
Zn      ,  0.0634  ,  0.0030
Br      ,  0.0549  ,  0.0020
