"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.20  
MgO     ,  6.66    ,  0.25  
Al2O3   ,  9.34    ,  0.19  
SiO2    , 46.48    ,  0.64  
P2O5    ,  0.90    ,  0.07  
SO3     ,  4.76    ,  0.15  
Cl      ,  0.93    ,  0.05  
K2O     ,  0.60    ,  0.04  
CaO     ,  6.56    ,  0.10  
TiO2    ,  0.96    ,  0.05  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.34    ,  0.03  
FeO     , 19.32    ,  0.26  
Ni      ,  0.0682  ,  0.0050
Zn      ,  0.0370  ,  0.0030
Br      ,  0.0079  ,  0.0010
