"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.69    ,  0.20  
MgO     ,  5.64    ,  0.17  
Al2O3   , 12.25    ,  0.29  
SiO2    , 52.98    ,  0.64  
P2O5    ,  1.24    ,  0.07  
SO3     ,  5.17    ,  0.15  
Cl      ,  1.04    ,  0.04  
K2O     ,  0.75    ,  0.02  
CaO     ,  3.97    ,  0.07  
TiO2    ,  1.01    ,  0.05  
Cr2O3   ,  0.44    ,  0.03  
MnO     ,  0.28    ,  0.03  
FeO     , 12.17    ,  0.13  
Ni      ,  0.0900  ,  0.0045
Zn      ,  0.1583  ,  0.0050
Br      ,  0.0456  ,  0.0020
