"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.43    ,  0.14  
MgO     ,  7.80    ,  0.17  
Al2O3   , 10.44    ,  0.29  
SiO2    , 45.65    ,  0.54  
P2O5    ,  0.78    ,  0.05  
SO3     ,  2.62    ,  0.05  
Cl      ,  0.52    ,  0.01  
K2O     ,  1.36    ,  0.05  
CaO     ,  7.08    ,  0.08  
TiO2    ,  0.85    ,  0.03  
Cr2O3   ,  0.50    ,  0.01  
MnO     ,  0.34    ,  0.01  
FeO     , 18.47    ,  0.20  
Ni      ,  0.0351  ,  0.0020
Zn      ,  0.0546  ,  0.0020
Br      ,  0.0024  ,  0.0005
