"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.20  
MgO     ,  4.34    ,  0.17  
Al2O3   ,  9.84    ,  0.29  
SiO2    , 51.13    ,  0.54  
P2O5    ,  0.76    ,  0.07  
SO3     ,  4.35    ,  0.15  
Cl      ,  1.05    ,  0.05  
K2O     ,  0.83    ,  0.04  
CaO     ,  3.34    ,  0.08  
TiO2    ,  1.24    ,  0.07  
Cr2O3   ,  0.37    ,  0.05  
MnO     ,  0.06    ,  0.04  
FeO     , 19.84    ,  0.26  
Ni      ,  0.0812  ,  0.0060
Zn      ,  0.0709  ,  0.0040
Br      ,  0.0057  ,  0.0010
