"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.73    ,  0.14  
MgO     ,  6.83    ,  0.17  
Al2O3   ,  9.03    ,  0.19  
SiO2    , 45.01    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  7.29    ,  0.10  
Cl      ,  2.12    ,  0.03  
K2O     ,  0.81    ,  0.04  
CaO     ,  5.38    ,  0.06  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 17.94    ,  0.20  
Ni      ,  0.0660  ,  0.0035
Zn      ,  0.2245  ,  0.0070
Br      ,  0.0375  ,  0.0015
