"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.72    ,  0.14  
MgO     ,  6.83    ,  0.17  
Al2O3   ,  8.85    ,  0.19  
SiO2    , 44.90    ,  0.54  
P2O5    ,  0.96    ,  0.07  
SO3     ,  6.38    ,  0.08  
Cl      ,  1.88    ,  0.03  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.59    ,  0.06  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.34    ,  0.01  
FeO     , 19.96    ,  0.26  
Ni      ,  0.0805  ,  0.0045
Zn      ,  0.1331  ,  0.0040
Br      ,  0.0140  ,  0.0005
