"Target: Morehouse_RP, Contains DAT files: APB_442195119ESC05040250000_______M2.DAT"
 7122.6  ,    5745
 7147.0  ,    3436
 7171.4  ,    1758
 7195.8  ,     936
 7220.2  ,     523
 7244.6  ,     280
 7269.0  ,     239
 7293.3  ,     188
 7317.7  ,     186
 7342.1  ,     215
 7366.5  ,     214
 7390.9  ,     241
 7415.3  ,     208
 7439.7  ,     232
 7464.1  ,     267
 7488.5  ,     229
 7512.9  ,     220
 7537.3  ,     216
 7561.7  ,     196
 7586.1  ,     194
 7610.4  ,     167
 7634.8  ,     160
 7659.2  ,     173
 7683.6  ,     167
 7708.0  ,     180
 7732.4  ,     203
 7756.8  ,     181
 7781.2  ,     191
 7805.6  ,     213
 7830.0  ,     206
 7854.4  ,     211
 7878.8  ,     230
 7903.2  ,     200
 7927.5  ,     209
 7951.9  ,     224
 7976.3  ,     252
 8000.7  ,     215
 8025.1  ,     209
 8049.5  ,     224
 8073.9  ,     241
 8098.3  ,     207
 8122.7  ,     226
 8147.1  ,     198
 8171.5  ,     212
 8195.9  ,     179
 8220.3  ,     204
 8244.6  ,     176
 8269.0  ,     193
 8293.4  ,     196
 8317.8  ,     193
 8342.2  ,     204
 8366.6  ,     200
 8391.0  ,     225
 8415.4  ,     272
 8439.8  ,     332
 8464.2  ,     451
 8488.6  ,     737
 8513.0  ,    1004
 8537.4  ,    1526
 8561.7  ,    2025
 8586.1  ,    2379
 8610.5  ,    2470
 8634.9  ,    2551
 8659.3  ,    2070
 8683.7  ,    1632
 8708.1  ,    1117
 8732.5  ,     704
 8756.9  ,     454
 8781.3  ,     330
 8805.7  ,     245
 8830.1  ,     188
 8854.5  ,     169
 8878.8  ,     175
 8903.2  ,     178
 8927.6  ,     187
 8952.0  ,     175
 8976.4  ,     206
 9000.8  ,     179
 9025.2  ,     194
 9049.6  ,     166
 9074.0  ,     198
 9098.4  ,     182
 9122.8  ,     188
 9147.2  ,     206
 9171.6  ,     219
 9195.9  ,     255
 9220.3  ,     259
 9244.7  ,     275
 9269.1  ,     247
 9293.5  ,     214
 9317.9  ,     213
 9342.3  ,     213
 9366.7  ,     219
 9391.1  ,     209
 9415.5  ,     239
 9439.9  ,     307
 9464.3  ,     353
 9488.7  ,     396
 9513.0  ,     501
 9537.4  ,     556
 9561.8  ,     569
 9586.2  ,     535
 9610.6  ,     436
 9635.0  ,     369
 9659.4  ,     320
 9683.8  ,     264
 9708.2  ,     216
 9732.6  ,     214
 9757.0  ,     205
 9781.4  ,     205
 9805.7  ,     183
 9830.1  ,     209
 9854.5  ,     232
 9878.9  ,     213
 9903.3  ,     243
 9927.7  ,     214
 9952.1  ,     214
 9976.5  ,     173
10000.9  ,     196
10025.3  ,     169
10049.7  ,     150
10074.1  ,     160
10098.5  ,     145
10122.8  ,     180
10147.2  ,     171
10171.6  ,     185
10196.0  ,     164
10220.4  ,     183
10244.8  ,     170
10269.2  ,     166
10293.6  ,     168
10318.0  ,     179
10342.4  ,     172
10366.8  ,     179
10391.2  ,     176
10415.6  ,     189
10439.9  ,     163
10464.3  ,     192
10488.7  ,     207
10513.1  ,     210
10537.5  ,     185
10561.9  ,     181
10586.3  ,     185
10610.7  ,     159
10635.1  ,     187
10659.5  ,     172
10683.9  ,     181
10708.3  ,     199
10732.7  ,     162
10757.0  ,     180
10781.4  ,     158
10805.8  ,     190
10830.2  ,     174
10854.6  ,     173
10879.0  ,     168
10903.4  ,     172
10927.8  ,     176
10952.2  ,     203
10976.6  ,     200
11001.0  ,     203
11025.4  ,     181
11049.8  ,     198
11074.1  ,     188
11098.5  ,     219
11122.9  ,     204
11147.3  ,     208
11171.7  ,     213
11196.1  ,     232
11220.5  ,     193
11244.9  ,     223
11269.3  ,     256
11293.7  ,     258
11318.1  ,     262
11342.5  ,     240
11366.9  ,     279
11391.2  ,     279
11415.6  ,     307
11440.0  ,     303
11464.4  ,     373
11488.8  ,     332
11513.2  ,     349
11537.6  ,     388
11562.0  ,     418
11586.4  ,     371
11610.8  ,     386
11635.2  ,     360
11659.6  ,     409
11684.0  ,     370
11708.3  ,     406
11732.7  ,     472
11757.1  ,     448
11781.5  ,     511
11805.9  ,     595
11830.3  ,     687
11854.7  ,     727
11879.1  ,     811
11903.5  ,     801
11927.9  ,     775
11952.3  ,     671
11976.7  ,     675
12001.1  ,     619
12025.4  ,     622
12049.8  ,     614
12074.2  ,     586
12098.6  ,     585
12123.0  ,     604
12147.4  ,     579
12171.8  ,     559
12196.2  ,     450
12220.6  ,     420
12245.0  ,     398
12269.4  ,     329
12293.8  ,     331
12318.2  ,     324
12342.5  ,     310
12366.9  ,     312
12391.3  ,     299
12415.7  ,     291
12440.1  ,     325
12464.5  ,     286
12488.9  ,     357
12513.3  ,     346
12537.7  ,     353
12562.1  ,     367
12586.5  ,     367
12610.9  ,     437
12635.3  ,     392
12659.6  ,     429
12684.0  ,     463
12708.4  ,     455
12732.8  ,     442
12757.2  ,     453
12781.6  ,     533
12806.0  ,     490
12830.4  ,     524
12854.8  ,     525
12879.2  ,     606
12903.6  ,     687
12928.0  ,     642
12952.4  ,     742
12976.7  ,     786
13001.1  ,     816
13025.5  ,     846
13049.9  ,     901
13074.3  ,    1033
13098.7  ,    1011
13123.1  ,    1247
13147.5  ,    1360
13171.9  ,    1561
13196.3  ,    1680
13220.7  ,    1893
13245.1  ,    2106
13269.5  ,    2337
13293.8  ,    2623
13318.2  ,    2910
13342.6  ,    3141
13367.0  ,    3336
13391.4  ,    3501
13415.8  ,    3801
13440.2  ,    3727
13464.6  ,    3958
13489.0  ,    3995
13513.4  ,    3976
13537.8  ,    3937
13562.2  ,    3957
13586.6  ,    3887
13610.9  ,    3595
13635.3  ,    3465
13659.7  ,    3350
13684.1  ,    3084
13708.5  ,    2953
13732.9  ,    2543
13757.3  ,    2377
13781.7  ,    2110
13806.1  ,    1975
13830.5  ,    1674
13854.9  ,    1589
13879.3  ,    1459
13903.7  ,    1408
13928.0  ,    1391
13952.4  ,    1435
13976.8  ,    1519
14001.2  ,    1800
14025.6  ,    1930
14050.0  ,    2331
14074.4  ,    2627
14098.8  ,    3001
14123.2  ,    3327
14147.6  ,    3855
14172.0  ,    4446
14196.4  ,    5036
14220.8  ,    5353
14245.1  ,    5645
14269.5  ,    5573
14293.9  ,    5393
14318.3  ,    4706
14342.7  ,    3974
14367.1  ,    3060
14391.5  ,    2345
14415.9  ,    1625
14440.3  ,    1066
14464.7  ,     706
14489.1  ,     513
14513.5  ,     387
14537.9  ,     384
14562.2  ,     296
14586.6  ,     291
14611.0  ,     273
14635.4  ,     273
14659.8  ,     267
14684.2  ,     279
14708.6  ,     278
14733.0  ,     322
14757.4  ,     297
14781.8  ,     338
14806.2  ,     305
14830.6  ,     370
14855.0  ,     389
14879.3  ,     445
14903.7  ,     443
14928.1  ,     440
14952.5  ,     448
14976.9  ,     467
15001.3  ,     468
15025.7  ,     478
15050.1  ,     432
15074.5  ,     438
15098.9  ,     431
15123.3  ,     437
15147.7  ,     423
15172.1  ,     439
15196.4  ,     434
15220.8  ,     478
15245.2  ,     521
15269.6  ,     541
15294.0  ,     535
15318.4  ,     531
15342.8  ,     591
15367.2  ,     571
15391.6  ,     637
15416.0  ,     661
15440.4  ,     714
15464.8  ,     793
15489.2  ,     923
15513.5  ,    1067
15537.9  ,    1390
15562.3  ,    1705
15586.7  ,    2165
15611.1  ,    2713
15635.5  ,    3413
15659.9  ,    4052
15684.3  ,    4584
15708.7  ,    4933
15733.1  ,    5258
15757.5  ,    5399
15781.9  ,    4854
15806.2  ,    4475
15830.6  ,    4070
15855.0  ,    3308
15879.4  ,    2705
15903.8  ,    2317
15928.2  ,    1962
15952.6  ,    1578
15977.0  ,    1438
16001.4  ,    1379
16025.8  ,    1319
16050.2  ,    1438
16074.6  ,    1423
16099.0  ,    1502
16123.3  ,    1483
16147.7  ,    1519
16172.1  ,    1679
16196.5  ,    1633
16220.9  ,    1758
16245.3  ,    1741
16269.7  ,    1762
16294.1  ,    1723
16318.5  ,    1874
16342.9  ,    1796
16367.3  ,    1820
16391.7  ,    1857
16416.1  ,    1737
16440.4  ,    1761
16464.8  ,    1690
16489.2  ,    1663
16513.6  ,    1720
16538.0  ,    1751
16562.4  ,    1706
16586.8  ,    1743
16611.2  ,    1781
16635.6  ,    1926
16660.0  ,    1985
16684.4  ,    2003
16708.8  ,    2061
16733.2  ,    2180
16757.5  ,    2426
16781.9  ,    2608
16806.3  ,    2806
16830.7  ,    3011
16855.1  ,    3106
16879.5  ,    3398
16903.9  ,    3516
16928.3  ,    3729
16952.7  ,    3994
16977.1  ,    4118
17001.5  ,    4365
17025.9  ,    4611
17050.3  ,    4551
17074.6  ,    4816
17099.0  ,    4803
17123.4  ,    5013
17147.8  ,    4946
17172.2  ,    4970
17196.6  ,    5035
17221.0  ,    5138
17245.4  ,    4857
17269.8  ,    4650
17294.2  ,    4391
17318.6  ,    3950
17343.0  ,    3716
17367.4  ,    3409
17391.7  ,    3087
17416.1  ,    2760
17440.5  ,    2460
17464.9  ,    2363
17489.3  ,    2182
17513.7  ,    2054
17538.1  ,    1968
17562.5  ,    1896
17586.9  ,    1946
17611.3  ,    2069
17635.7  ,    1913
