"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  6.78    ,  0.27  
MgO     ,  3.41    ,  0.08  
Al2O3   , 15.37    ,  0.38  
SiO2    , 49.93    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  2.32    ,  0.05  
Cl      ,  1.11    ,  0.02  
K2O     ,  2.94    ,  0.10  
CaO     ,  5.76    ,  0.07  
TiO2    ,  0.72    ,  0.03  
Cr2O3   ,  0.05    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 10.27    ,  0.13  
Ni      ,  0.0041  ,  0.0010
Zn      ,  0.0924  ,  0.0030
Br      ,  0.0082  ,  0.0005
