"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.28    ,  0.14  
MgO     ,  4.09    ,  0.08  
Al2O3   ,  8.68    ,  0.19  
SiO2    , 47.98    ,  0.54  
P2O5    ,  1.09    ,  0.07  
SO3     ,  8.13    ,  0.10  
Cl      ,  0.68    ,  0.02  
K2O     ,  0.83    ,  0.04  
CaO     ,  5.62    ,  0.07  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 18.78    ,  0.20  
Ni      ,  0.0755  ,  0.0040
Zn      ,  0.0603  ,  0.0020
Br      ,  0.0267  ,  0.0010
