"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     , 10.48    ,  0.25  
Al2O3   ,  8.15    ,  0.19  
SiO2    , 41.59    ,  0.43  
P2O5    ,  0.90    ,  0.05  
SO3     ,  3.63    ,  0.08  
Cl      ,  0.54    ,  0.02  
K2O     ,  0.41    ,  0.02  
CaO     ,  7.31    ,  0.08  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.43    ,  0.01  
FeO     , 22.54    ,  0.26  
Ni      ,  0.1394  ,  0.0070
Zn      ,  0.0164  ,  0.0010
Br      ,  0.0039  ,  0.0005
