"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.39    ,  0.14  
MgO     ,  4.29    ,  0.17  
Al2O3   ,  8.42    ,  0.19  
SiO2    , 48.19    ,  0.54  
P2O5    ,  1.05    ,  0.07  
SO3     ,  5.49    ,  0.10  
Cl      ,  1.45    ,  0.03  
K2O     ,  1.13    ,  0.04  
CaO     ,  3.62    ,  0.04  
TiO2    ,  1.10    ,  0.05  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 21.69    ,  0.26  
Ni      ,  0.0994  ,  0.0050
Zn      ,  0.1286  ,  0.0040
Br      ,  0.1127  ,  0.0035
