"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.14  
MgO     ,  6.45    ,  0.17  
Al2O3   ,  6.90    ,  0.19  
SiO2    , 35.27    ,  0.43  
P2O5    ,  0.90    ,  0.05  
SO3     , 10.39    ,  0.12  
Cl      ,  1.43    ,  0.03  
K2O     ,  1.63    ,  0.06  
CaO     ,  4.88    ,  0.06  
TiO2    ,  0.78    ,  0.03  
Cr2O3   ,  0.25    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 28.34    ,  0.33  
Ni      ,  0.0360  ,  0.0020
Zn      ,  0.1139  ,  0.0035
Br      ,  0.0668  ,  0.0025
