"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.41    ,  0.14  
MgO     ,  3.31    ,  0.08  
Al2O3   ,  2.72    ,  0.10  
SiO2    , 12.01    ,  0.21  
P2O5    ,  0.52    ,  0.07  
SO3     , 43.63    ,  0.45  
Cl      ,  0.63    ,  0.03  
K2O     ,  0.07    ,  0.07  
CaO     , 33.05    ,  0.34  
TiO2    ,  0.05    ,  0.10  
Cr2O3   ,  0.06    ,  0.01  
MnO     ,  0.05    ,  0.04  
FeO     ,  2.37    ,  0.07  
Ni      ,  0.0087  ,  0.0015
Zn      ,  0.0164  ,  0.0010
Br      ,  0.0039  ,  0.0005
