"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.59    ,  0.14  
MgO     ,  5.87    ,  0.17  
Al2O3   ,  8.96    ,  0.19  
SiO2    , 47.95    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  3.66    ,  0.08  
Cl      ,  1.07    ,  0.02  
K2O     ,  1.02    ,  0.04  
CaO     ,  3.50    ,  0.04  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.41    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     , 22.52    ,  0.26  
Ni      ,  0.0822  ,  0.0045
Zn      ,  0.0658  ,  0.0020
Br      ,  0.0407  ,  0.0015
