"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.97    ,  0.14  
MgO     ,  3.62    ,  0.08  
Al2O3   , 10.58    ,  0.29  
SiO2    , 51.26    ,  0.54  
P2O5    ,  1.20    ,  0.07  
SO3     ,  4.07    ,  0.08  
Cl      ,  0.30    ,  0.02  
K2O     ,  0.85    ,  0.04  
CaO     ,  4.06    ,  0.04  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 18.89    ,  0.20  
Ni      ,  0.0483  ,  0.0025
Zn      ,  0.2039  ,  0.0065
Br      ,  0.0033  ,  0.0005
