"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  5.13    ,  0.17  
Al2O3   ,  8.55    ,  0.19  
SiO2    , 44.14    ,  0.54  
P2O5    ,  0.88    ,  0.05  
SO3     ,  8.67    ,  0.10  
Cl      ,  1.47    ,  0.03  
K2O     ,  1.09    ,  0.04  
CaO     ,  5.83    ,  0.07  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 19.91    ,  0.26  
Ni      ,  0.0851  ,  0.0045
Zn      ,  0.0886  ,  0.0030
Br      ,  0.0144  ,  0.0005
