"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.01    ,  0.07  
MgO     ,  5.20    ,  0.17  
Al2O3   ,  8.82    ,  0.19  
SiO2    , 49.84    ,  0.54  
P2O5    ,  1.14    ,  0.07  
SO3     ,  2.94    ,  0.05  
Cl      ,  1.12    ,  0.02  
K2O     ,  1.01    ,  0.04  
CaO     ,  2.59    ,  0.03  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 23.09    ,  0.26  
Ni      ,  0.0960  ,  0.0050
Zn      ,  0.2063  ,  0.0065
Br      ,  0.0450  ,  0.0015
