"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.84    ,  0.20  
MgO     ,  5.89    ,  0.25  
Al2O3   ,  8.30    ,  0.29  
SiO2    , 43.03    ,  0.64  
P2O5    ,  1.07    ,  0.07  
SO3     ,  9.44    ,  0.25  
Cl      ,  2.19    ,  0.08  
K2O     ,  1.00    ,  0.04  
CaO     ,  6.23    ,  0.11  
TiO2    ,  0.91    ,  0.07  
Cr2O3   ,  0.28    ,  0.05  
MnO     ,  0.42    ,  0.04  
FeO     , 17.91    ,  0.20  
Ni      ,  0.0713  ,  0.0060
Zn      ,  0.1569  ,  0.0055
Br      ,  0.0140  ,  0.0015
