"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.25    ,  0.20  
MgO     ,  7.63    ,  0.25  
Al2O3   ,  8.43    ,  0.29  
SiO2    , 46.80    ,  0.64  
P2O5    ,  1.06    ,  0.07  
SO3     ,  6.68    ,  0.17  
Cl      ,  1.13    ,  0.05  
K2O     ,  0.79    ,  0.04  
CaO     ,  3.08    ,  0.07  
TiO2    ,  1.04    ,  0.05  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.21    ,  0.03  
FeO     , 20.19    ,  0.26  
Ni      ,  0.0983  ,  0.0060
Zn      ,  0.2005  ,  0.0065
Br      ,  0.0241  ,  0.0015
