"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.50    ,  0.14  
MgO     ,  6.70    ,  0.17  
Al2O3   ,  8.78    ,  0.19  
SiO2    , 43.94    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  8.50    ,  0.12  
Cl      ,  1.82    ,  0.04  
K2O     ,  0.70    ,  0.02  
CaO     ,  5.94    ,  0.07  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 18.34    ,  0.20  
Ni      ,  0.0674  ,  0.0035
Zn      ,  0.2333  ,  0.0070
Br      ,  0.0231  ,  0.0010
