"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.66    ,  0.14  
MgO     ,  5.35    ,  0.17  
Al2O3   ,  9.12    ,  0.19  
SiO2    , 48.73    ,  0.54  
P2O5    ,  0.88    ,  0.05  
SO3     ,  4.73    ,  0.08  
Cl      ,  1.09    ,  0.02  
K2O     ,  1.09    ,  0.04  
CaO     ,  2.51    ,  0.03  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 21.99    ,  0.26  
Ni      ,  0.0899  ,  0.0045
Zn      ,  0.0961  ,  0.0030
Br      ,  0.0349  ,  0.0015
