"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.84    ,  0.07  
MgO     ,  5.72    ,  0.17  
Al2O3   ,  4.86    ,  0.19  
SiO2    , 25.98    ,  0.32  
P2O5    ,  1.08    ,  0.07  
SO3     , 28.63    ,  0.30  
Cl      ,  1.55    ,  0.03  
K2O     ,  0.44    ,  0.02  
CaO     , 19.48    ,  0.20  
TiO2    ,  0.55    ,  0.02  
Cr2O3   ,  0.17    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     ,  9.28    ,  0.13  
Ni      ,  0.0421  ,  0.0025
Zn      ,  0.0723  ,  0.0025
Br      ,  0.0237  ,  0.0010
