"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  4.64    ,  0.17  
Al2O3   ,  8.59    ,  0.19  
SiO2    , 48.29    ,  0.54  
P2O5    ,  0.91    ,  0.05  
SO3     ,  6.34    ,  0.08  
Cl      ,  1.46    ,  0.03  
K2O     ,  1.12    ,  0.04  
CaO     ,  4.06    ,  0.04  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.60    ,  0.01  
FeO     , 19.83    ,  0.26  
Ni      ,  0.1153  ,  0.0060
Zn      ,  0.1271  ,  0.0040
Br      ,  0.0675  ,  0.0025
