"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.09    ,  0.14  
MgO     ,  4.14    ,  0.17  
Al2O3   ,  8.54    ,  0.19  
SiO2    , 47.19    ,  0.54  
P2O5    ,  1.02    ,  0.07  
SO3     ,  7.31    ,  0.12  
Cl      ,  1.09    ,  0.03  
K2O     ,  0.90    ,  0.04  
CaO     ,  5.95    ,  0.07  
TiO2    ,  1.19    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.14    ,  0.01  
FeO     , 19.73    ,  0.26  
Ni      ,  0.1142  ,  0.0060
Zn      ,  0.1319  ,  0.0040
Br      ,  0.0376  ,  0.0015
