"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  5.33    ,  0.17  
Al2O3   ,  8.65    ,  0.19  
SiO2    , 45.85    ,  0.54  
P2O5    ,  0.92    ,  0.07  
SO3     ,  8.87    ,  0.10  
Cl      ,  0.99    ,  0.02  
K2O     ,  0.93    ,  0.04  
CaO     ,  6.28    ,  0.07  
TiO2    ,  0.97    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.31    ,  0.01  
FeO     , 17.94    ,  0.20  
Ni      ,  0.0749  ,  0.0040
Zn      ,  0.0961  ,  0.0030
Br      ,  0.0036  ,  0.0005
