"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.20    ,  0.20  
MgO     ,  4.96    ,  0.25  
Al2O3   ,  6.41    ,  0.19  
SiO2    , 29.67    ,  0.54  
P2O5    ,  0.59    ,  0.09  
SO3     , 26.11    ,  0.52  
Cl      ,  0.99    ,  0.07  
K2O     ,  0.42    ,  0.04  
CaO     , 17.58    ,  0.24  
TiO2    ,  0.67    ,  0.09  
Cr2O3   ,  0.21    ,  0.05  
MnO     ,  0.20    ,  0.04  
FeO     ,  9.65    ,  0.20  
Ni      ,  0.0175  ,  0.0050
Zn      ,  0.0604  ,  0.0045
Br      ,  0.0119  ,  0.0015
