"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.05    ,  0.14  
MgO     ,  5.27    ,  0.17  
Al2O3   ,  7.50    ,  0.19  
SiO2    , 39.66    ,  0.43  
P2O5    ,  0.88    ,  0.05  
SO3     , 11.60    ,  0.20  
Cl      ,  0.80    ,  0.04  
K2O     ,  0.99    ,  0.04  
CaO     ,  8.25    ,  0.10  
TiO2    ,  1.10    ,  0.05  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.38    ,  0.03  
FeO     , 20.74    ,  0.26  
Ni      ,  0.0918  ,  0.0050
Zn      ,  0.2137  ,  0.0065
Br      ,  0.0290  ,  0.0015
