"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  8.78    ,  0.25  
Al2O3   ,  9.41    ,  0.19  
SiO2    , 45.20    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  3.45    ,  0.08  
Cl      ,  0.53    ,  0.02  
K2O     ,  0.46    ,  0.02  
CaO     ,  7.21    ,  0.08  
TiO2    ,  0.93    ,  0.03  
Cr2O3   ,  0.51    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 19.65    ,  0.26  
Ni      ,  0.0488  ,  0.0025
Zn      ,  0.0241  ,  0.0010
Br      ,  0.0031  ,  0.0005
