"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  4.07    ,  0.08  
Al2O3   ,  8.81    ,  0.19  
SiO2    , 45.06    ,  0.54  
P2O5    ,  0.66    ,  0.05  
SO3     , 10.03    ,  0.12  
Cl      ,  1.04    ,  0.02  
K2O     ,  0.91    ,  0.04  
CaO     ,  7.14    ,  0.08  
TiO2    ,  0.90    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.13    ,  0.01  
FeO     , 17.90    ,  0.20  
Ni      ,  0.1043  ,  0.0055
Zn      ,  0.1162  ,  0.0035
Br      ,  0.0129  ,  0.0005
