"Target: Aillik_RP_Spot4, Contains DAT files: APB_426105519ESC03220060804_______M2.DAT"
  483.9  ,    1200
  508.3  ,       0
  532.7  ,       0
  557.1  ,       0
  581.5  ,       0
  606.0  ,     116
  630.4  ,       0
  654.8  ,       0
  679.2  ,     179
  703.6  ,     295
  728.0  ,     274
  752.4  ,     270
  776.8  ,     237
  801.2  ,     252
  825.7  ,     283
  850.1  ,     275
  874.5  ,     277
  898.9  ,     282
  923.3  ,     338
  947.7  ,     422
  972.1  ,     661
  996.5  ,     878
 1020.9  ,    1142
 1045.4  ,    1130
 1069.8  ,     838
 1094.2  ,     604
 1118.6  ,     499
 1143.0  ,     699
 1167.4  ,    1229
 1191.8  ,    2120
 1216.2  ,    3416
 1240.6  ,    3890
 1265.1  ,    3536
 1289.5  ,    2366
 1313.9  ,    1328
 1338.3  ,     850
 1362.7  ,     734
 1387.1  ,    1117
 1411.5  ,    2068
 1435.9  ,    3595
 1460.3  ,    4864
 1484.8  ,    5094
 1509.2  ,    4088
 1533.6  ,    2596
 1558.0  ,    1563
 1582.4  ,    1098
 1606.8  ,    1287
 1631.2  ,    2634
 1655.6  ,    5783
 1680.1  ,   11234
 1704.5  ,   16862
 1728.9  ,   19322
 1753.3  ,   16580
 1777.7  ,   11269
 1802.1  ,    6067
 1826.5  ,    2762
 1850.9  ,    1407
 1875.3  ,     737
 1899.8  ,     528
 1924.2  ,     368
 1948.6  ,     317
 1973.0  ,     280
 1997.4  ,     327
 2021.8  ,     304
 2046.2  ,     212
 2070.6  ,     186
 2095.0  ,     162
 2119.5  ,     149
 2143.9  ,     153
 2168.3  ,     145
 2192.7  ,     247
 2217.1  ,     425
 2241.5  ,     733
 2265.9  ,    1042
 2290.3  ,    1260
 2314.7  ,    1217
 2339.2  ,     896
 2363.6  ,     586
 2388.0  ,     308
 2412.4  ,     212
 2436.8  ,     158
 2461.2  ,     164
 2485.6  ,     180
 2510.0  ,     206
 2534.4  ,     246
 2558.9  ,     303
 2583.3  ,     395
 2607.7  ,     511
 2632.1  ,     459
 2656.5  ,     370
 2680.9  ,     237
 2705.3  ,     127
 2729.7  ,      97
 2754.1  ,      87
 2778.6  ,      94
 2803.0  ,      76
 2827.4  ,      87
 2851.8  ,      67
 2876.2  ,      79
 2900.6  ,      70
 2925.0  ,      77
 2949.4  ,      62
 2973.8  ,      85
 2998.3  ,      53
 3022.7  ,      63
 3047.1  ,      50
 3071.5  ,      46
 3095.9  ,      43
 3120.3  ,      39
 3144.7  ,      41
 3169.1  ,      65
 3193.5  ,      70
 3218.0  ,      89
 3242.4  ,     129
 3266.8  ,     199
 3291.2  ,     176
 3315.6  ,     211
 3340.0  ,     180
 3364.4  ,     125
 3388.8  ,     114
 3413.2  ,      85
 3437.7  ,      72
 3462.1  ,      61
 3486.5  ,      86
 3510.9  ,     104
 3535.3  ,     157
 3559.7  ,     257
 3584.1  ,     456
 3608.5  ,     702
 3633.0  ,    1130
 3657.4  ,    1471
 3681.8  ,    1616
 3706.2  ,    1465
 3730.6  ,    1077
 3755.0  ,     644
 3779.4  ,     367
 3803.8  ,     166
 3828.2  ,      91
 3852.7  ,      56
 3877.1  ,      60
 3901.5  ,      84
 3925.9  ,     106
 3950.3  ,     159
 3974.7  ,     208
 3999.1  ,     226
 4023.5  ,     232
 4047.9  ,     172
 4072.4  ,     146
 4096.8  ,      98
 4121.2  ,      79
 4145.6  ,      37
 4170.0  ,      52
 4194.4  ,      42
 4218.8  ,      37
 4243.2  ,      32
 4267.6  ,      31
 4292.1  ,      44
 4316.5  ,      34
 4340.9  ,      39
 4365.3  ,      37
 4389.7  ,      61
 4414.1  ,      82
 4438.5  ,     126
 4462.9  ,     172
 4487.3  ,     158
 4511.8  ,     186
 4536.2  ,     155
 4560.6  ,     138
 4585.0  ,      94
 4609.4  ,     102
 4633.8  ,      89
 4658.2  ,      75
 4682.6  ,      59
 4707.0  ,      54
 4731.5  ,      47
 4755.9  ,      38
 4780.3  ,      30
 4804.7  ,      39
 4829.1  ,      57
 4853.5  ,      60
 4877.9  ,      48
 4902.3  ,      55
 4926.7  ,      59
 4951.2  ,      53
 4975.6  ,      39
 5000.0  ,      47
 5024.4  ,      49
 5048.8  ,      37
 5073.2  ,      42
 5097.6  ,      42
 5122.0  ,      44
 5146.4  ,      42
 5170.9  ,      44
 5195.3  ,      40
 5219.7  ,      53
 5244.1  ,      52
 5268.5  ,      63
 5292.9  ,     108
 5317.3  ,      98
 5341.7  ,     140
 5366.1  ,     208
 5390.6  ,     219
 5415.0  ,     205
 5439.4  ,     168
 5463.8  ,     155
 5488.2  ,     100
 5512.6  ,      86
 5537.0  ,      60
 5561.4  ,      53
 5585.8  ,      50
 5610.3  ,      52
 5634.7  ,      37
 5659.1  ,      45
 5683.5  ,      37
 5707.9  ,      58
 5732.3  ,      73
 5756.7  ,      80
 5781.1  ,     101
 5805.6  ,     152
 5830.0  ,     177
 5854.4  ,     197
 5878.8  ,     247
 5903.2  ,     234
 5927.6  ,     206
 5952.0  ,     153
 5976.4  ,     144
 6000.8  ,     125
 6025.3  ,     130
 6049.7  ,     107
 6074.1  ,     110
 6098.5  ,     113
 6122.9  ,     148
 6147.3  ,     146
 6171.7  ,     237
