"Target: Aillik_RP_Spot3, Contains DAT files: APB_426103980ESC03220060804_______M2.DAT"
  485.5  ,    1200
  509.9  ,       0
  534.3  ,       0
  558.7  ,       0
  583.2  ,       0
  607.6  ,     116
  632.0  ,       0
  656.4  ,       0
  680.8  ,     215
  705.2  ,     452
  729.6  ,     457
  754.0  ,     400
  778.5  ,     390
  802.9  ,     371
  827.3  ,     381
  851.7  ,     380
  876.1  ,     406
  900.5  ,     422
  924.9  ,     514
  949.4  ,     673
  973.8  ,    1043
  998.2  ,    1379
 1022.6  ,    1782
 1047.0  ,    1644
 1071.4  ,    1321
 1095.8  ,     982
 1120.3  ,     852
 1144.7  ,    1198
 1169.1  ,    1982
 1193.5  ,    3453
 1217.9  ,    5082
 1242.3  ,    5752
 1266.7  ,    5147
 1291.1  ,    3636
 1315.6  ,    2091
 1340.0  ,    1284
 1364.4  ,    1275
 1388.8  ,    1973
 1413.2  ,    3375
 1437.6  ,    5598
 1462.0  ,    7384
 1486.5  ,    7515
 1510.9  ,    5950
 1535.3  ,    3892
 1559.7  ,    2368
 1584.1  ,    1840
 1608.5  ,    2369
 1632.9  ,    4522
 1657.3  ,    9696
 1681.8  ,   17271
 1706.2  ,   24936
 1730.6  ,   28057
 1755.0  ,   23701
 1779.4  ,   16372
 1803.8  ,    8673
 1828.2  ,    4232
 1852.7  ,    2096
 1877.1  ,    1177
 1901.5  ,     672
 1925.9  ,     525
 1950.3  ,     440
 1974.7  ,     418
 1999.1  ,     482
 2023.5  ,     414
 2048.0  ,     366
 2072.4  ,     287
 2096.8  ,     233
 2121.2  ,     216
 2145.6  ,     228
 2170.0  ,     295
 2194.4  ,     401
 2218.9  ,     727
 2243.3  ,    1218
 2267.7  ,    1683
 2292.1  ,    1995
 2316.5  ,    1941
 2340.9  ,    1440
 2365.3  ,     918
 2389.8  ,     494
 2414.2  ,     304
 2438.6  ,     259
 2463.0  ,     248
 2487.4  ,     238
 2511.8  ,     294
 2536.2  ,     356
 2560.6  ,     472
 2585.1  ,     635
 2609.5  ,     698
 2633.9  ,     658
 2658.3  ,     492
 2682.7  ,     314
 2707.1  ,     204
 2731.5  ,     110
 2756.0  ,     114
 2780.4  ,     137
 2804.8  ,     119
 2829.2  ,     118
 2853.6  ,     117
 2878.0  ,     112
 2902.4  ,     111
 2926.8  ,      87
 2951.3  ,      88
 2975.7  ,      86
 3000.1  ,      80
 3024.5  ,      85
 3048.9  ,      60
 3073.3  ,      62
 3097.7  ,      58
 3122.2  ,      77
 3146.6  ,      71
 3171.0  ,      57
 3195.4  ,      90
 3219.8  ,     130
 3244.2  ,     201
 3268.6  ,     232
 3293.1  ,     301
 3317.5  ,     310
 3341.9  ,     269
 3366.3  ,     224
 3390.7  ,     154
 3415.1  ,     111
 3439.5  ,     123
 3463.9  ,     119
 3488.4  ,     140
 3512.8  ,     166
 3537.2  ,     228
 3561.6  ,     398
 3586.0  ,     662
 3610.4  ,    1087
 3634.8  ,    1710
 3659.3  ,    2058
 3683.7  ,    2329
 3708.1  ,    2009
 3732.5  ,    1568
 3756.9  ,     956
 3781.3  ,     552
 3805.7  ,     248
 3830.1  ,     141
 3854.6  ,      98
 3879.0  ,      79
 3903.4  ,     115
 3927.8  ,     158
 3952.2  ,     245
 3976.6  ,     302
 4001.0  ,     328
 4025.5  ,     302
 4049.9  ,     241
 4074.3  ,     204
 4098.7  ,     155
 4123.1  ,     123
 4147.5  ,      77
 4171.9  ,      54
 4196.4  ,      52
 4220.8  ,      56
 4245.2  ,      52
 4269.6  ,      42
 4294.0  ,      40
 4318.4  ,      57
 4342.8  ,      58
 4367.2  ,      70
 4391.7  ,      78
 4416.1  ,     144
 4440.5  ,     193
 4464.9  ,     223
 4489.3  ,     262
 4513.7  ,     239
 4538.1  ,     228
 4562.6  ,     184
 4587.0  ,     171
 4611.4  ,     119
 4635.8  ,     127
 4660.2  ,     108
 4684.6  ,      86
 4709.0  ,      74
 4733.4  ,      59
 4757.9  ,      56
 4782.3  ,      56
