"Target: Aillik_RP_Spot1, Contains DAT files: APB_426100883ESC03220060804_______M2.DAT"
  486.5  ,    1080
  510.9  ,       0
  535.3  ,       0
  559.7  ,       0
  584.2  ,       0
  608.6  ,     116
  633.0  ,       0
  657.4  ,       0
  681.8  ,      48
  706.2  ,     373
  730.7  ,     387
  755.1  ,     323
  779.5  ,     316
  803.9  ,     322
  828.3  ,     330
  852.7  ,     315
  877.1  ,     344
  901.6  ,     325
  926.0  ,     412
  950.4  ,     568
  974.8  ,     857
  999.2  ,    1146
 1023.6  ,    1271
 1048.1  ,    1193
 1072.5  ,     990
 1096.9  ,     832
 1121.3  ,     750
 1145.7  ,    1093
 1170.1  ,    1642
 1194.5  ,    2696
 1219.0  ,    3770
 1243.4  ,    4254
 1267.8  ,    3830
 1292.2  ,    2706
 1316.6  ,    1788
 1341.0  ,    1114
 1365.5  ,    1114
 1389.9  ,    1649
 1414.3  ,    2943
 1438.7  ,    4453
 1463.1  ,    5530
 1487.5  ,    5679
 1511.9  ,    4663
 1536.4  ,    3093
 1560.8  ,    2045
 1585.2  ,    1602
 1609.6  ,    2303
 1634.0  ,    4249
 1658.4  ,    8495
 1682.9  ,   13786
 1707.3  ,   19193
 1731.7  ,   21036
 1756.1  ,   18389
 1780.5  ,   12684
 1804.9  ,    7492
 1829.3  ,    3791
 1853.8  ,    1921
 1878.2  ,     952
 1902.6  ,     634
 1927.0  ,     437
 1951.4  ,     333
 1975.8  ,     394
 2000.3  ,     336
 2024.7  ,     325
 2049.1  ,     308
 2073.5  ,     237
 2097.9  ,     177
 2122.3  ,     174
 2146.8  ,     177
 2171.2  ,     274
 2195.6  ,     366
 2220.0  ,     595
 2244.4  ,     907
 2268.8  ,    1248
 2293.2  ,    1413
 2317.7  ,    1404
 2342.1  ,    1031
 2366.5  ,     706
 2390.9  ,     394
 2415.3  ,     227
 2439.7  ,     206
 2464.2  ,     215
 2488.6  ,     195
 2513.0  ,     241
 2537.4  ,     308
 2561.8  ,     364
 2586.2  ,     482
 2610.6  ,     538
 2635.1  ,     472
 2659.5  ,     408
 2683.9  ,     255
 2708.3  ,     156
 2732.7  ,     138
 2757.1  ,      96
 2781.6  ,      78
 2806.0  ,     101
 2830.4  ,      94
 2854.8  ,      78
 2879.2  ,      92
 2903.6  ,      68
 2928.0  ,      74
 2952.5  ,      74
 2976.9  ,      59
 3001.3  ,      72
 3025.7  ,      71
 3050.1  ,      70
 3074.5  ,      38
 3099.0  ,      46
 3123.4  ,      60
 3147.8  ,      63
 3172.2  ,      72
 3196.6  ,      72
 3221.0  ,     109
 3245.4  ,     167
 3269.9  ,     200
 3294.3  ,     249
 3318.7  ,     234
 3343.1  ,     210
 3367.5  ,     163
 3391.9  ,     129
 3416.4  ,      86
 3440.8  ,      99
 3465.2  ,     102
 3489.6  ,     102
 3514.0  ,     150
 3538.4  ,     185
 3562.8  ,     336
 3587.3  ,     598
 3611.7  ,     901
 3636.1  ,    1396
 3660.5  ,    1699
 3684.9  ,    1683
 3709.3  ,    1563
 3733.8  ,    1180
 3758.2  ,     759
 3782.6  ,     441
 3807.0  ,     250
 3831.4  ,     123
 3855.8  ,     114
 3880.2  ,      94
 3904.7  ,     135
 3929.1  ,     165
 3953.5  ,     208
 3977.9  ,     227
 4002.3  ,     262
 4026.7  ,     246
 4051.2  ,     224
 4075.6  ,     173
 4100.0  ,     140
 4124.4  ,      79
 4148.8  ,      69
 4173.2  ,      51
 4197.6  ,      38
 4222.1  ,      40
 4246.5  ,      36
 4270.9  ,      41
 4295.3  ,      47
 4319.7  ,      34
 4344.1  ,      62
 4368.6  ,      57
 4393.0  ,      83
 4417.4  ,     109
 4441.8  ,     145
 4466.2  ,     173
 4490.6  ,     186
 4515.0  ,     212
 4539.5  ,     190
 4563.9  ,     145
 4588.3  ,     136
 4612.7  ,     118
 4637.1  ,      97
 4661.5  ,      84
 4686.0  ,      72
 4710.4  ,      66
 4734.8  ,      63
 4759.2  ,      61
 4783.6  ,      38
 4808.0  ,      47
 4832.4  ,      43
 4856.9  ,      56
 4881.3  ,      59
 4905.7  ,      69
 4930.1  ,      71
 4954.5  ,      59
 4978.9  ,      49
 5003.4  ,      59
 5027.8  ,      54
 5052.2  ,      45
 5076.6  ,      50
 5101.0  ,      42
 5125.4  ,      46
 5149.9  ,      47
 5174.3  ,      45
 5198.7  ,      48
 5223.1  ,      70
 5247.5  ,      55
 5271.9  ,      75
 5296.3  ,     116
 5320.8  ,     152
 5345.2  ,     178
 5369.6  ,     225
 5394.0  ,     230
 5418.4  ,     227
 5442.8  ,     219
 5467.3  ,     174
 5491.7  ,     107
 5516.1  ,      86
 5540.5  ,      63
 5564.9  ,      68
 5589.3  ,      74
 5613.7  ,      56
 5638.2  ,      57
 5662.6  ,      49
 5687.0  ,      49
 5711.4  ,      72
 5735.8  ,      68
 5760.2  ,      96
 5784.7  ,     109
 5809.1  ,     156
 5833.5  ,     205
 5857.9  ,     235
 5882.3  ,     264
 5906.7  ,     278
 5931.1  ,     246
 5955.6  ,     189
 5980.0  ,     151
 6004.4  ,     160
 6028.8  ,     113
 6053.2  ,     142
 6077.6  ,     145
 6102.1  ,     156
 6126.5  ,     179
 6150.9  ,     217
 6175.3  ,     351
 6199.7  ,     498
 6224.1  ,     956
 6248.5  ,    1773
 6273.0  ,    3104
 6297.4  ,    5148
 6321.8  ,    7899
 6346.2  ,    9917
 6370.6  ,   11386
 6395.0  ,   11756
 6419.5  ,   10468
 6443.9  ,    8214
 6468.3  ,    5666
 6492.7  ,    3406
 6517.1  ,    1899
 6541.5  ,     865
 6565.9  ,     425
 6590.4  ,     181
 6614.8  ,      90
 6639.2  ,      76
 6663.6  ,      67
 6688.0  ,      75
 6712.4  ,      61
 6736.9  ,      61
 6761.3  ,      70
 6785.7  ,      86
 6810.1  ,      86
 6834.5  ,     107
 6858.9  ,     174
 6883.3  ,     230
 6907.8  ,     399
 6932.2  ,     614
 6956.6  ,     984
 6981.0  ,    1392
 7005.4  ,    1648
 7029.8  ,    1787
 7054.3  ,    1841
 7078.7  ,    1604
 7103.1  ,    1270
 7127.5  ,     898
 7151.9  ,     544
 7176.3  ,     323
 7200.7  ,     167
 7225.2  ,      77
 7249.6  ,      38
 7274.0  ,      27
 7298.4  ,      18
 7322.8  ,      17
 7347.2  ,      21
 7371.7  ,      16
 7396.1  ,      19
 7420.5  ,      35
 7444.9  ,      28
 7469.3  ,      28
 7493.7  ,      23
 7518.1  ,      25
 7542.6  ,      24
 7567.0  ,      19
 7591.4  ,      20
 7615.8  ,      14
 7640.2  ,      11
 7664.6  ,      16
 7689.1  ,      11
 7713.5  ,      13
 7737.9  ,       8
 7762.3  ,      26
 7786.7  ,      11
 7811.1  ,      14
 7835.5  ,      13
 7860.0  ,      23
 7884.4  ,      15
 7908.8  ,      15
 7933.2  ,      19
 7957.6  ,      18
 7982.0  ,      22
 8006.5  ,      16
 8030.9  ,      20
 8055.3  ,      13
 8079.7  ,      19
 8104.1  ,       8
 8128.5  ,      15
 8152.9  ,      25
 8177.4  ,      15
 8201.8  ,      14
 8226.2  ,      13
 8250.6  ,      11
 8275.0  ,       8
 8299.4  ,      17
 8323.9  ,      20
 8348.3  ,      14
 8372.7  ,      17
 8397.1  ,      18
 8421.5  ,      16
 8445.9  ,      25
 8470.4  ,      21
 8494.8  ,      54
 8519.2  ,      61
 8543.6  ,     100
 8568.0  ,     118
 8592.4  ,     135
 8616.8  ,     155
 8641.3  ,     145
 8665.7  ,     108
 8690.1  ,     107
 8714.5  ,      73
 8738.9  ,      59
 8763.3  ,      24
 8787.8  ,      17
 8812.2  ,      22
 8836.6  ,       5
 8861.0  ,      13
 8885.4  ,       8
 8909.8  ,      15
 8934.2  ,       6
 8958.7  ,      13
 8983.1  ,       9
 9007.5  ,      16
 9031.9  ,      14
 9056.3  ,      14
 9080.7  ,      18
 9105.2  ,      17
 9129.6  ,      10
 9154.0  ,       9
 9178.4  ,      12
 9202.8  ,      18
 9227.2  ,      12
 9251.6  ,      11
 9276.1  ,      15
 9300.5  ,      16
 9324.9  ,      11
 9349.3  ,      19
 9373.7  ,      10
 9398.1  ,      12
 9422.6  ,      22
 9447.0  ,      15
 9471.4  ,      24
 9495.8  ,      27
 9520.2  ,      32
 9544.6  ,      39
 9569.0  ,      24
 9593.5  ,      31
 9617.9  ,      18
 9642.3  ,      26
 9666.7  ,      21
 9691.1  ,      15
 9715.5  ,      23
 9740.0  ,      14
 9764.4  ,      25
 9788.8  ,      14
 9813.2  ,      33
 9837.6  ,      20
 9862.0  ,      21
 9886.4  ,      20
 9910.9  ,      16
 9935.3  ,      18
 9959.7  ,      20
 9984.1  ,      11
10008.5  ,      15
10032.9  ,      13
10057.4  ,      13
10081.8  ,      12
10106.2  ,      10
10130.6  ,       9
10155.0  ,      13
10179.4  ,       7
10203.8  ,      11
10228.3  ,      12
10252.7  ,      14
