"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.12    ,  0.14  
MgO     ,  4.41    ,  0.17  
Al2O3   , 11.61    ,  0.29  
SiO2    , 53.09    ,  0.54  
P2O5    ,  1.45    ,  0.09  
SO3     ,  4.46    ,  0.05  
Cl      ,  0.85    ,  0.02  
K2O     ,  0.92    ,  0.04  
CaO     ,  7.19    ,  0.08  
TiO2    ,  1.35    ,  0.05  
Cr2O3   ,  0.09    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 10.16    ,  0.13  
Ni      ,  0.0036  ,  0.0005
Zn      ,  0.0084  ,  0.0005
Br      ,  0.0035  ,  0.0005
