"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.20  
MgO     ,  5.23    ,  0.25  
Al2O3   ,  9.52    ,  0.29  
SiO2    , 48.85    ,  0.54  
P2O5    ,  0.61    ,  0.05  
SO3     ,  8.44    ,  0.15  
Cl      ,  1.50    ,  0.04  
K2O     ,  1.08    ,  0.04  
CaO     ,  4.38    ,  0.06  
TiO2    ,  1.02    ,  0.03  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.14    ,  0.01  
FeO     , 15.98    ,  0.20  
Ni      ,  0.0846  ,  0.0045
Zn      ,  0.0838  ,  0.0030
Br      ,  0.0118  ,  0.0010
