"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.20  
MgO     ,  6.41    ,  0.25  
Al2O3   ,  8.78    ,  0.29  
SiO2    , 46.55    ,  0.75  
P2O5    ,  1.02    ,  0.07  
SO3     ,  5.34    ,  0.20  
Cl      ,  0.81    ,  0.05  
K2O     ,  0.69    ,  0.04  
CaO     ,  3.97    ,  0.10  
TiO2    ,  1.14    ,  0.07  
Cr2O3   ,  0.38    ,  0.05  
MnO     ,  0.14    ,  0.03  
FeO     , 22.08    ,  0.26  
Ni      ,  0.0606  ,  0.0060
Zn      ,  0.1326  ,  0.0055
Br      ,  0.0101  ,  0.0015
