"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.20    ,  0.20  
MgO     ,  6.74    ,  0.25  
Al2O3   ,  8.10    ,  0.28  
SiO2    , 42.88    ,  0.64  
P2O5    ,  0.88    ,  0.07  
SO3     ,  6.23    ,  0.20  
Cl      ,  1.27    ,  0.06  
K2O     ,  0.61    ,  0.04  
CaO     ,  6.00    ,  0.11  
TiO2    ,  1.28    ,  0.07  
Cr2O3   ,  0.20    ,  0.04  
MnO     ,  0.33    ,  0.04  
FeO     , 23.00    ,  0.26  
Ni      ,  0.0425  ,  0.0040
Zn      ,  0.0657  ,  0.0035
Br      ,  0.0128  ,  0.0015
