"Target: Hay_Creek_marsviewer_tweaked, Contains DAT files: APA_411871303ESC01620051986_______M2.DAT"
 7430.5  ,      30
 7454.9  ,      45
 7479.4  ,      26
 7503.8  ,      18
 7528.3  ,      25
 7552.7  ,      19
 7577.2  ,      19
 7601.6  ,      13
 7626.1  ,       2
 7650.6  ,       6
 7675.0  ,       7
 7699.5  ,       8
 7723.9  ,      13
 7748.4  ,      11
 7772.8  ,      11
 7797.3  ,       9
 7821.7  ,       2
 7846.2  ,       3
 7870.6  ,       4
 7895.1  ,       6
 7919.6  ,      11
 7944.0  ,      12
 7968.5  ,       5
 7992.9  ,       6
 8017.4  ,      12
 8041.8  ,       6
 8066.3  ,      13
 8090.7  ,       5
 8115.2  ,      10
 8139.6  ,       6
 8164.1  ,      15
 8188.6  ,      14
 8213.0  ,       8
 8237.5  ,      10
 8261.9  ,      13
 8286.4  ,      10
 8310.8  ,      16
 8335.3  ,       6
 8359.7  ,       6
 8384.2  ,       7
 8408.6  ,       8
 8433.1  ,      12
 8457.5  ,      12
 8482.0  ,      18
 8506.5  ,      24
 8530.9  ,      50
 8555.4  ,      54
 8579.8  ,      73
 8604.3  ,      71
 8628.7  ,      60
 8653.2  ,      57
 8677.6  ,      53
 8702.1  ,      37
 8726.5  ,      27
 8751.0  ,      16
 8775.5  ,      11
 8799.9  ,       6
 8824.4  ,       8
 8848.8  ,       9
 8873.3  ,      11
 8897.7  ,       5
 8922.2  ,      12
 8946.6  ,      11
 8971.1  ,       7
 8995.5  ,       7
 9020.0  ,      11
 9044.5  ,      10
 9068.9  ,       9
 9093.4  ,       6
 9117.8  ,      13
 9142.3  ,       7
 9166.7  ,       6
 9191.2  ,       6
 9215.6  ,      13
 9240.1  ,      12
 9264.5  ,       9
 9289.0  ,       8
 9313.5  ,      15
 9337.9  ,       5
 9362.4  ,       6
 9386.8  ,       8
 9411.3  ,       9
 9435.7  ,       5
 9460.2  ,       8
 9484.6  ,      14
 9509.1  ,      13
 9533.5  ,      12
 9558.0  ,      12
 9582.5  ,      10
 9606.9  ,      12
 9631.4  ,      17
 9655.8  ,      11
 9680.3  ,      11
 9704.7  ,      12
 9729.2  ,       9
 9753.6  ,      10
 9778.1  ,      15
 9802.5  ,      14
 9827.0  ,      12
 9851.5  ,      11
 9875.9  ,      28
 9900.4  ,      18
 9924.8  ,      13
 9949.3  ,       7
 9973.7  ,      14
 9998.2  ,       7
10022.6  ,       6
10047.1  ,       6
10071.5  ,       6
10096.0  ,       7
10120.5  ,       5
10144.9  ,       7
10169.4  ,       8
10193.8  ,       8
10218.3  ,       5
10242.7  ,       7
10267.2  ,       4
10291.6  ,       8
10316.1  ,       4
10340.5  ,       8
10365.0  ,       8
10389.5  ,       7
10413.9  ,       9
10438.4  ,       4
10462.8  ,       8
10487.3  ,      12
10511.7  ,      12
10536.2  ,      10
10560.6  ,      11
10585.1  ,       9
10609.5  ,      12
10634.0  ,       8
10658.4  ,       6
10682.9  ,       6
10707.4  ,       8
10731.8  ,       9
10756.3  ,       6
10780.7  ,       7
10805.2  ,      11
10829.6  ,      10
10854.1  ,       6
10878.5  ,       6
10903.0  ,       6
10927.4  ,       8
10951.9  ,       8
10976.4  ,      12
11000.8  ,       8
11025.3  ,      11
11049.7  ,       7
11074.2  ,      10
11098.6  ,      13
11123.1  ,      16
11147.5  ,      12
11172.0  ,       4
11196.4  ,      14
11220.9  ,       6
11245.4  ,       6
11269.8  ,       9
11294.3  ,       9
11318.7  ,      11
11343.2  ,      13
11367.6  ,       7
11392.1  ,      10
11416.5  ,       9
11441.0  ,      11
11465.4  ,      16
11489.9  ,      18
11514.4  ,       8
11538.8  ,      14
11563.3  ,      14
11587.7  ,      10
11612.2  ,      16
11636.6  ,      12
11661.1  ,       9
11685.5  ,      16
11710.0  ,      18
11734.4  ,      16
11758.9  ,      17
11783.4  ,      21
11807.8  ,      12
11832.3  ,      19
11856.7  ,      34
11881.2  ,      39
11905.6  ,      37
11930.1  ,      42
11954.5  ,      31
11979.0  ,      37
12003.4  ,      23
12027.9  ,      25
12052.4  ,      30
12076.8  ,      27
12101.3  ,      29
12125.7  ,      19
12150.2  ,      12
12174.6  ,      26
12199.1  ,      18
12223.5  ,      22
12248.0  ,      20
12272.4  ,      14
12296.9  ,      17
12321.4  ,      17
12345.8  ,       9
12370.3  ,      11
