"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.78    ,  0.07  
MgO     ,  9.33    ,  0.25  
Al2O3   ,  7.83    ,  0.19  
SiO2    , 41.26    ,  0.43  
P2O5    ,  0.63    ,  0.05  
SO3     ,  3.70    ,  0.05  
Cl      ,  0.92    ,  0.02  
K2O     ,  2.71    ,  0.08  
CaO     ,  6.41    ,  0.07  
TiO2    ,  0.85    ,  0.03  
Cr2O3   ,  0.72    ,  0.01  
MnO     ,  0.42    ,  0.01  
FeO     , 23.14    ,  0.26  
Ni      ,  0.0235  ,  0.0015
Zn      ,  0.1906  ,  0.0060
Br      ,  0.0112  ,  0.0005
