" oxide", " APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,6.55,0.3
MgO     ,3.05,0.2
Al2O3   ,16.4,0.3
SiO2    ,50.7,0.4
P2O5    ,0.42,0.1
SO3     ,2.5,0.1
  Cl    ,0.77,0.03
K2O     ,2.33,0.1
CaO     ,6.12,0.1
TiO2    ,0.73,0.1
Cr2O3   ,0,0.05
MnO     ,0.13,0.02
FeO     ,10.1,0.1
  Ni    ,0.0016,0.0030
  Zn    ,0.0180,0.0030
  Br    ,0.0073,0.0030
