"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.14  
MgO     ,  4.80    ,  0.17  
Al2O3   ,  8.56    ,  0.19  
SiO2    , 45.93    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  7.20    ,  0.10  
Cl      ,  0.95    ,  0.02  
K2O     ,  0.79    ,  0.02  
CaO     ,  5.37    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 20.85    ,  0.26  
Ni      ,  0.1141  ,  0.0060
Zn      ,  0.2016  ,  0.0065
Br      ,  0.0200  ,  0.0010
