"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.14  
MgO     ,  7.00    ,  0.17  
Al2O3   ,  8.74    ,  0.19  
SiO2    , 46.70    ,  0.54  
P2O5    ,  0.98    ,  0.07  
SO3     ,  6.25    ,  0.10  
Cl      ,  1.07    ,  0.03  
K2O     ,  0.73    ,  0.02  
CaO     ,  4.39    ,  0.06  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 19.45    ,  0.26  
Ni      ,  0.1187  ,  0.0060
Zn      ,  0.2119  ,  0.0065
Br      ,  0.0405  ,  0.0015
