"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.14  
MgO     ,  4.86    ,  0.17  
Al2O3   ,  9.11    ,  0.19  
SiO2    , 49.41    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  7.16    ,  0.12  
Cl      ,  0.65    ,  0.03  
K2O     ,  0.84    ,  0.04  
CaO     ,  3.85    ,  0.06  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.15    ,  0.01  
FeO     , 19.20    ,  0.20  
Ni      ,  0.0830  ,  0.0045
Zn      ,  0.0956  ,  0.0030
Br      ,  0.0082  ,  0.0010
