"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.73    ,  0.14  
MgO     ,  9.54    ,  0.25  
Al2O3   ,  8.84    ,  0.19  
SiO2    , 44.49    ,  0.54  
P2O5    ,  0.78    ,  0.05  
SO3     ,  3.96    ,  0.05  
Cl      ,  1.65    ,  0.03  
K2O     ,  0.29    ,  0.01  
CaO     ,  6.15    ,  0.07  
TiO2    ,  0.87    ,  0.03  
Cr2O3   ,  0.43    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 19.76    ,  0.26  
Ni      ,  0.0428  ,  0.0025
Zn      ,  0.0417  ,  0.0015
Br      ,  0.0240  ,  0.0010
