"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.59    ,  0.27  
MgO     ,  6.35    ,  0.25  
Al2O3   , 10.45    ,  0.38  
SiO2    , 43.36    ,  0.75  
P2O5    ,  0.74    ,  0.07  
SO3     ,  5.17    ,  0.20  
Cl      ,  1.73    ,  0.08  
K2O     ,  0.36    ,  0.04  
CaO     , 12.19    ,  0.18  
TiO2    ,  0.61    ,  0.05  
Cr2O3   ,  0.23    ,  0.05  
MnO     ,  0.38    ,  0.04  
FeO     , 15.60    ,  0.20  
Ni      ,  0.0673  ,  0.0070
Zn      ,  0.0940  ,  0.0050
Br      ,  0.0220  ,  0.0020
