"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     ,  8.70    ,  0.25  
Al2O3   ,  9.70    ,  0.29  
SiO2    , 42.93    ,  0.54  
P2O5    ,  1.24    ,  0.07  
SO3     ,  5.75    ,  0.12  
Cl      ,  1.10    ,  0.03  
K2O     ,  0.81    ,  0.04  
CaO     ,  6.75    ,  0.07  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.37    ,  0.03  
FeO     , 18.62    ,  0.20  
Ni      ,  0.0818  ,  0.0045
Zn      ,  0.1181  ,  0.0040
Br      ,  0.0016  ,  0.0005
