"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  7.25    ,  0.17  
Al2O3   ,  9.64    ,  0.29  
SiO2    , 48.35    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     ,  6.48    ,  0.08  
Cl      ,  1.26    ,  0.02  
K2O     ,  0.70    ,  0.02  
CaO     ,  5.04    ,  0.06  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 15.76    ,  0.20  
Ni      ,  0.0816  ,  0.0045
Zn      ,  0.1208  ,  0.0040
Br      ,  0.0492  ,  0.0015
