"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.20  
MgO     ,  6.25    ,  0.25  
Al2O3   ,  8.71    ,  0.29  
SiO2    , 47.34    ,  0.75  
P2O5    ,  1.00    ,  0.07  
SO3     ,  7.71    ,  0.22  
Cl      ,  1.26    ,  0.06  
K2O     ,  0.76    ,  0.04  
CaO     ,  4.95    ,  0.10  
TiO2    ,  1.18    ,  0.07  
Cr2O3   ,  0.29    ,  0.05  
MnO     ,  0.22    ,  0.03  
FeO     , 17.57    ,  0.20  
Ni      ,  0.0968  ,  0.0070
Zn      ,  0.1905  ,  0.0065
Br      ,  0.0411  ,  0.0020
