"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.14  
MgO     ,  4.95    ,  0.17  
Al2O3   ,  8.45    ,  0.19  
SiO2    , 46.60    ,  0.54  
P2O5    ,  1.01    ,  0.07  
SO3     , 10.00    ,  0.15  
Cl      ,  1.17    ,  0.03  
K2O     ,  0.77    ,  0.02  
CaO     ,  5.75    ,  0.07  
TiO2    ,  0.97    ,  0.05  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.23    ,  0.01  
FeO     , 17.03    ,  0.20  
Ni      ,  0.0955  ,  0.0050
Zn      ,  0.1800  ,  0.0055
Br      ,  0.0362  ,  0.0015
