"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  0.27    ,  0.14  
MgO     , 12.77    ,  0.33  
Al2O3   ,  5.70    ,  0.19  
SiO2    , 39.42    ,  0.54  
P2O5    ,  0.72    ,  0.07  
SO3     ,  2.60    ,  0.12  
Cl      ,  0.72    ,  0.05  
K2O     ,  3.59    ,  0.11  
CaO     ,  4.98    ,  0.11  
TiO2    ,  1.18    ,  0.07  
Cr2O3   ,  0.44    ,  0.05  
MnO     ,  0.49    ,  0.04  
FeO     , 26.37    ,  0.33  
Ni      ,  0.0444  ,  0.0070
Zn      ,  0.4681  ,  0.0145
Br      ,  0.0186  ,  0.0020
