"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  0.40    ,  0.07  
MgO     , 12.67    ,  0.33  
Al2O3   ,  5.69    ,  0.19  
SiO2    , 39.30    ,  0.43  
P2O5    ,  0.73    ,  0.05  
SO3     ,  2.58    ,  0.05  
Cl      ,  0.80    ,  0.02  
K2O     ,  3.65    ,  0.12  
CaO     ,  4.91    ,  0.06  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.44    ,  0.01  
MnO     ,  0.56    ,  0.01  
FeO     , 26.50    ,  0.33  
Ni      ,  0.0383  ,  0.0020
Zn      ,  0.4347  ,  0.0135
Br      ,  0.0348  ,  0.0015
