"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.13    ,  0.14  
MgO     ,  4.18    ,  0.17  
Al2O3   ,  9.52    ,  0.29  
SiO2    , 51.79    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  2.78    ,  0.05  
Cl      ,  0.88    ,  0.02  
K2O     ,  0.91    ,  0.04  
CaO     ,  2.28    ,  0.03  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 22.52    ,  0.26  
Ni      ,  0.0982  ,  0.0050
Zn      ,  0.2108  ,  0.0065
Br      ,  0.0176  ,  0.0010
