"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.14  
MgO     ,  5.16    ,  0.17  
Al2O3   ,  8.26    ,  0.19  
SiO2    , 44.41    ,  0.54  
P2O5    ,  1.10    ,  0.07  
SO3     , 10.24    ,  0.15  
Cl      ,  1.35    ,  0.04  
K2O     ,  0.84    ,  0.04  
CaO     ,  5.92    ,  0.07  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.21    ,  0.01  
FeO     , 18.37    ,  0.20  
Ni      ,  0.1136  ,  0.0060
Zn      ,  0.2445  ,  0.0075
Br      ,  0.0623  ,  0.0020
