"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  4.83    ,  0.17  
Al2O3   ,  8.79    ,  0.19  
SiO2    , 46.44    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     , 10.70    ,  0.15  
Cl      ,  1.54    ,  0.04  
K2O     ,  0.68    ,  0.02  
CaO     ,  4.97    ,  0.06  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.07    ,  0.01  
FeO     , 17.07    ,  0.20  
Ni      ,  0.0838  ,  0.0045
Zn      ,  0.0726  ,  0.0025
Br      ,  0.0156  ,  0.0010
