"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.07  
MgO     ,  8.52    ,  0.25  
Al2O3   ,  9.74    ,  0.29  
SiO2    , 43.31    ,  0.54  
P2O5    ,  1.21    ,  0.07  
SO3     ,  5.51    ,  0.08  
Cl      ,  1.04    ,  0.02  
K2O     ,  0.82    ,  0.04  
CaO     ,  6.73    ,  0.07  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.37    ,  0.01  
FeO     , 18.89    ,  0.20  
Ni      ,  0.0836  ,  0.0045
Zn      ,  0.1218  ,  0.0040
Br      ,  0.0027  ,  0.0005
