"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.39    ,  0.14  
MgO     ,  5.49    ,  0.17  
Al2O3   ,  9.83    ,  0.29  
SiO2    , 50.20    ,  0.54  
P2O5    ,  0.68    ,  0.05  
SO3     ,  8.57    ,  0.15  
Cl      ,  0.94    ,  0.04  
K2O     ,  1.04    ,  0.04  
CaO     ,  5.47    ,  0.07  
TiO2    ,  0.84    ,  0.03  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.23    ,  0.01  
FeO     , 13.39    ,  0.20  
Ni      ,  0.0965  ,  0.0050
Zn      ,  0.1289  ,  0.0040
Br      ,  0.0106  ,  0.0010
