"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.20  
MgO     ,  6.73    ,  0.25  
Al2O3   ,  8.78    ,  0.19  
SiO2    , 45.92    ,  0.64  
P2O5    ,  0.89    ,  0.07  
SO3     ,  6.83    ,  0.20  
Cl      ,  0.85    ,  0.05  
K2O     ,  0.69    ,  0.04  
CaO     ,  4.90    ,  0.10  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.36    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 19.89    ,  0.26  
Ni      ,  0.0716  ,  0.0060
Zn      ,  0.1045  ,  0.0045
Br      ,  0.0068  ,  0.0010
