"Target: McGrath_2, Contains DAT files: APB_421483339ESC02700060000_______M2.DAT"
 7423.2  ,      46
 7447.6  ,      60
 7472.0  ,      51
 7496.5  ,      43
 7520.9  ,      48
 7545.3  ,      45
 7569.7  ,      36
 7594.2  ,      31
 7618.6  ,      27
 7643.0  ,      15
 7667.4  ,      24
 7691.9  ,      20
 7716.3  ,      11
 7740.7  ,       9
 7765.1  ,      14
 7789.6  ,      14
 7814.0  ,      16
 7838.4  ,      17
 7862.9  ,      21
 7887.3  ,      13
 7911.7  ,      21
 7936.1  ,      15
 7960.6  ,      21
 7985.0  ,      13
 8009.4  ,      14
 8033.8  ,      15
 8058.3  ,      13
 8082.7  ,      18
 8107.1  ,      18
 8131.5  ,      14
 8156.0  ,      12
 8180.4  ,      26
 8204.8  ,      19
 8229.2  ,      21
 8253.7  ,      16
 8278.1  ,      21
 8302.5  ,      18
 8326.9  ,      24
 8351.4  ,      17
 8375.8  ,      18
 8400.2  ,      21
 8424.7  ,      22
 8449.1  ,      26
 8473.5  ,      35
 8497.9  ,      57
 8522.4  ,      50
 8546.8  ,      74
 8571.2  ,      99
 8595.6  ,      91
 8620.1  ,     106
 8644.5  ,     106
 8668.9  ,      99
 8693.3  ,      74
 8717.8  ,      71
 8742.2  ,      44
 8766.6  ,      49
 8791.0  ,      27
 8815.5  ,      19
 8839.9  ,      13
 8864.3  ,      12
 8888.7  ,       9
 8913.2  ,      15
 8937.6  ,      10
 8962.0  ,      12
 8986.4  ,      17
 9010.9  ,      18
 9035.3  ,      18
 9059.7  ,      11
 9084.2  ,      18
 9108.6  ,      15
 9133.0  ,      13
 9157.4  ,      13
 9181.9  ,      12
 9206.3  ,      18
 9230.7  ,      16
 9255.1  ,      15
 9279.6  ,      16
 9304.0  ,      14
 9328.4  ,      20
 9352.8  ,      20
 9377.3  ,      15
 9401.7  ,      19
 9426.1  ,      14
 9450.5  ,      22
 9475.0  ,      22
 9499.4  ,      22
 9523.8  ,      22
 9548.2  ,      22
 9572.7  ,      13
 9597.1  ,      37
 9621.5  ,      31
 9646.0  ,      24
 9670.4  ,      28
 9694.8  ,      21
 9719.2  ,      23
 9743.7  ,      22
 9768.1  ,      20
 9792.5  ,      25
 9816.9  ,      25
 9841.4  ,      30
 9865.8  ,      35
 9890.2  ,      26
 9914.6  ,      24
 9939.1  ,      14
 9963.5  ,      24
 9987.9  ,      19
10012.3  ,      25
10036.8  ,      15
10061.2  ,      15
10085.6  ,      12
10110.0  ,      15
10134.5  ,       8
10158.9  ,      14
10183.3  ,      11
10207.7  ,      21
10232.2  ,      21
10256.6  ,      11
10281.0  ,      16
10305.5  ,      14
10329.9  ,      25
10354.3  ,      20
10378.7  ,      16
10403.2  ,      11
10427.6  ,      15
10452.0  ,      14
10476.4  ,      16
10500.9  ,      17
10525.3  ,      15
10549.7  ,      11
10574.1  ,       9
10598.6  ,      13
10623.0  ,      16
10647.4  ,      12
10671.8  ,      16
10696.3  ,      13
10720.7  ,      12
10745.1  ,      11
10769.5  ,      27
10794.0  ,       7
10818.4  ,      24
10842.8  ,      18
10867.3  ,      17
10891.7  ,      10
10916.1  ,      16
10940.5  ,      19
10965.0  ,       9
10989.4  ,      19
11013.8  ,      13
11038.2  ,      15
11062.7  ,      14
11087.1  ,      20
11111.5  ,      17
11135.9  ,      13
11160.4  ,      16
11184.8  ,      12
11209.2  ,      15
11233.6  ,      15
11258.1  ,      17
11282.5  ,      16
11306.9  ,       9
11331.3  ,      15
11355.8  ,      12
11380.2  ,      19
11404.6  ,      24
11429.0  ,      16
11453.5  ,      20
11477.9  ,      19
11502.3  ,      27
11526.8  ,      17
11551.2  ,      22
11575.6  ,      21
11600.0  ,      23
11624.5  ,      27
11648.9  ,      19
11673.3  ,      34
11697.7  ,      51
11722.2  ,      45
11746.6  ,      59
11771.0  ,      77
11795.4  ,      96
11819.9  ,     123
11844.3  ,     135
11868.7  ,     155
11893.1  ,     163
11917.6  ,     151
11942.0  ,     160
11966.4  ,     145
11990.8  ,     144
12015.3  ,      98
12039.7  ,      95
12064.1  ,      80
12088.6  ,      62
12113.0  ,      52
12137.4  ,      38
12161.8  ,      29
12186.3  ,      39
12210.7  ,      35
12235.1  ,      27
12259.5  ,      24
12284.0  ,      22
12308.4  ,      21
12332.8  ,      32
12357.2  ,      22
12381.7  ,      14
12406.1  ,      16
12430.5  ,      19
12454.9  ,      20
12479.4  ,      27
12503.8  ,      20
12528.2  ,      33
12552.6  ,      24
12577.1  ,      25
12601.5  ,      14
12625.9  ,      21
12650.3  ,      19
12674.8  ,      28
12699.2  ,      23
12723.6  ,      29
12748.1  ,      27
12772.5  ,      34
12796.9  ,      32
12821.3  ,      32
12845.8  ,      29
12870.2  ,      29
12894.6  ,      38
12919.0  ,      39
12943.5  ,      49
12967.9  ,      42
12992.3  ,      45
13016.7  ,      39
13041.2  ,      54
13065.6  ,      52
13090.0  ,      68
13114.4  ,      66
13138.9  ,      78
13163.3  ,      72
13187.7  ,      87
13212.1  ,     117
13236.6  ,     108
13261.0  ,     130
13285.4  ,     156
13309.9  ,     127
13334.3  ,     160
13358.7  ,     160
13383.1  ,     180
13407.6  ,     174
13432.0  ,     182
13456.4  ,     202
13480.8  ,     197
13505.3  ,     216
13529.7  ,     184
13554.1  ,     185
13578.5  ,     164
13603.0  ,     195
13627.4  ,     194
13651.8  ,     166
13676.2  ,     163
13700.7  ,     168
13725.1  ,     139
13749.5  ,     146
13773.9  ,     113
13798.4  ,     114
13822.8  ,      95
13847.2  ,      88
13871.6  ,      82
13896.1  ,      82
13920.5  ,      89
13944.9  ,      70
13969.4  ,      72
13993.8  ,      87
14018.2  ,      79
14042.6  ,     114
14067.1  ,     111
14091.5  ,     162
14115.9  ,     159
14140.3  ,     199
14164.8  ,     194
14189.2  ,     230
14213.6  ,     269
14238.0  ,     277
14262.5  ,     282
14286.9  ,     269
14311.3  ,     284
14335.7  ,     250
14360.2  ,     233
14384.6  ,     175
14409.0  ,     150
14433.4  ,     115
14457.9  ,      85
14482.3  ,      71
14506.7  ,      49
14531.2  ,      26
14555.6  ,      31
14580.0  ,      30
14604.4  ,      21
14628.9  ,      23
14653.3  ,      15
14677.7  ,      18
14702.1  ,      11
14726.6  ,      19
14751.0  ,      23
14775.4  ,      22
14799.8  ,      20
14824.3  ,      23
14848.7  ,      15
14873.1  ,      22
14897.5  ,      15
14922.0  ,      13
14946.4  ,      24
14970.8  ,      24
14995.2  ,      22
15019.7  ,      18
15044.1  ,      19
15068.5  ,      27
15092.9  ,      28
15117.4  ,      24
15141.8  ,      28
15166.2  ,      30
15190.7  ,      21
15215.1  ,      17
15239.5  ,      22
15263.9  ,      43
15288.4  ,      32
15312.8  ,      37
15337.2  ,      28
15361.6  ,      40
15386.1  ,      46
15410.5  ,      46
15434.9  ,      41
15459.3  ,      54
15483.8  ,      60
15508.2  ,      67
15532.6  ,      88
15557.0  ,     111
15581.5  ,     128
15605.9  ,     174
15630.3  ,     175
15654.7  ,     249
15679.2  ,     289
15703.6  ,     317
15728.0  ,     317
15752.5  ,     274
15776.9  ,     326
15801.3  ,     268
15825.7  ,     283
15850.2  ,     235
15874.6  ,     230
15899.0  ,     180
15923.4  ,     151
15947.9  ,     129
15972.3  ,     103
15996.7  ,     114
16021.1  ,      85
16045.6  ,      77
16070.0  ,      75
16094.4  ,      86
16118.8  ,      91
16143.3  ,      77
16167.7  ,      96
16192.1  ,      88
16216.5  ,      83
16241.0  ,      92
16265.4  ,      93
16289.8  ,      88
16314.2  ,     112
16338.7  ,     101
16363.1  ,     100
16387.5  ,     106
16412.0  ,      90
16436.4  ,     101
16460.8  ,     111
16485.2  ,      89
16509.7  ,     100
16534.1  ,     107
16558.5  ,     108
16582.9  ,      96
16607.4  ,     106
16631.8  ,      83
16656.2  ,     112
16680.6  ,     122
16705.1  ,     118
16729.5  ,     122
16753.9  ,     150
16778.3  ,     137
16802.8  ,     167
16827.2  ,     171
16851.6  ,     151
16876.0  ,     186
16900.5  ,     188
16924.9  ,     213
16949.3  ,     200
16973.8  ,     242
16998.2  ,     218
17022.6  ,     223
17047.0  ,     236
17071.5  ,     268
17095.9  ,     282
17120.3  ,     227
17144.7  ,     257
17169.2  ,     295
17193.6  ,     294
17218.0  ,     288
17242.4  ,     258
17266.9  ,     260
17291.3  ,     243
17315.7  ,     239
17340.1  ,     210
17364.6  ,     190
17389.0  ,     184
17413.4  ,     168
17437.8  ,     162
17462.3  ,     151
17486.7  ,     132
17511.1  ,     117
17535.5  ,     138
17560.0  ,     123
17584.4  ,     122
17608.8  ,     113
17633.3  ,      93
17657.7  ,      96
17682.1  ,     105
17706.5  ,      95
17731.0  ,      86
17755.4  ,      90
17779.8  ,      82
17804.2  ,      76
17828.7  ,      61
17853.1  ,      71
17877.5  ,      63
17901.9  ,      43
17926.4  ,      53
17950.8  ,      53
17975.2  ,      49
17999.6  ,      58
18024.1  ,      55
18048.5  ,      83
18072.9  ,      61
18097.3  ,      97
18121.8  ,      90
18146.2  ,     111
18170.6  ,     163
18195.1  ,     151
18219.5  ,     170
18243.9  ,     211
18268.3  ,     220
18292.8  ,     240
18317.2  ,     248
18341.6  ,     190
18366.0  ,     191
18390.5  ,     158
18414.9  ,     146
18439.3  ,     126
18463.7  ,     108
18488.2  ,      84
18512.6  ,      71
18537.0  ,      36
18561.4  ,      37
18585.9  ,      18
18610.3  ,      26
18634.7  ,      19
18659.1  ,      17
18683.6  ,      20
18708.0  ,      14
18732.4  ,      14
18756.8  ,      14
18781.3  ,      11
18805.7  ,      12
18830.1  ,      17
18854.6  ,      21
18879.0  ,      21
18903.4  ,      18
18927.8  ,      22
18952.3  ,      18
18976.7  ,      19
19001.1  ,      23
19025.5  ,      16
19050.0  ,      13
19074.4  ,      22
19098.8  ,      14
19123.2  ,      22
19147.7  ,      20
19172.1  ,      14
19196.5  ,      23
19220.9  ,      20
19245.4  ,      34
19269.8  ,      21
19294.2  ,      27
19318.6  ,      23
19343.1  ,      19
19367.5  ,      26
19391.9  ,      33
19416.4  ,      44
19440.8  ,      27
19465.2  ,      45
19489.6  ,      34
19514.1  ,      38
19538.5  ,      36
19562.9  ,      49
19587.3  ,      49
19611.8  ,      54
19636.2  ,      57
19660.6  ,      57
19685.0  ,      57
19709.5  ,      69
19733.9  ,      65
19758.3  ,      58
19782.7  ,      58
19807.2  ,      67
19831.6  ,      75
19856.0  ,      51
19880.4  ,      61
19904.9  ,      48
19929.3  ,      47
19953.7  ,      50
19978.2  ,      70
20002.6  ,      64
20027.0  ,      56
20051.4  ,      53
20075.9  ,      60
20100.3  ,      45
20124.7  ,      55
20149.1  ,      44
20173.6  ,      40
20198.0  ,      49
20222.4  ,      48
20246.8  ,      44
20271.3  ,      46
20295.7  ,      43
20320.1  ,      38
20344.5  ,      33
20369.0  ,      35
20393.4  ,      39
20417.8  ,      37
20442.2  ,      33
20466.7  ,      31
20491.1  ,      34
20515.5  ,      41
20539.9  ,      29
20564.4  ,      28
20588.8  ,      25
20613.2  ,      19
20637.7  ,      28
20662.1  ,      23
20686.5  ,      33
20710.9  ,      25
20735.4  ,      20
20759.8  ,      24
20784.2  ,      21
20808.6  ,      19
20833.1  ,      21
20857.5  ,      19
20881.9  ,      18
20906.3  ,      15
20930.8  ,      22
20955.2  ,      16
20979.6  ,      15
21004.0  ,       5
21028.5  ,      16
21052.9  ,      10
21077.3  ,      12
21101.7  ,      11
21126.2  ,      21
21150.6  ,      16
21175.0  ,      21
21199.5  ,      17
21223.9  ,      18
21248.3  ,      24
21272.7  ,      27
21297.2  ,      33
21321.6  ,      30
21346.0  ,      34
21370.4  ,      46
21394.9  ,      32
21419.3  ,      42
21443.7  ,      43
21468.1  ,      45
21492.6  ,      47
21517.0  ,      45
21541.4  ,      33
21565.8  ,      35
21590.3  ,      37
21614.7  ,      28
21639.1  ,       8
21663.5  ,       9
21688.0  ,      13
21712.4  ,       6
21736.8  ,      10
21761.2  ,      11
21785.7  ,       8
21810.1  ,      13
21834.5  ,       9
21859.0  ,      13
21883.4  ,       4
21907.8  ,       6
21932.2  ,      11
21956.7  ,       7
21981.1  ,      12
22005.5  ,       9
22029.9  ,      15
22054.4  ,       8
22078.8  ,       8
22103.2  ,      18
22127.6  ,      18
22152.1  ,      16
22176.5  ,      10
22200.9  ,      14
22225.3  ,      11
22249.8  ,      15
22274.2  ,      10
22298.6  ,      19
22323.0  ,       6
22347.5  ,      13
22371.9  ,       5
22396.3  ,      16
22420.8  ,      11
22445.2  ,       6
22469.6  ,       5
22494.0  ,       4
22518.5  ,       8
22542.9  ,       8
22567.3  ,       7
22591.7  ,       3
22616.2  ,       2
22640.6  ,      10
22665.0  ,       6
22689.4  ,       3
22713.9  ,       8
22738.3  ,       5
22762.7  ,       3
22787.1  ,       8
22811.6  ,       4
22836.0  ,       5
22860.4  ,       7
22884.8  ,       5
22909.3  ,       9
22933.7  ,       6
22958.1  ,       7
22982.5  ,       7
23007.0  ,       5
23031.4  ,       7
23055.8  ,       0
23080.3  ,       3
23104.7  ,       6
23129.1  ,       8
23153.5  ,       4
23178.0  ,       3
23202.4  ,       7
23226.8  ,       6
23251.2  ,       8
23275.7  ,       6
23300.1  ,       7
23324.5  ,       5
23348.9  ,      11
23373.4  ,       7
23397.8  ,       8
23422.2  ,       6
23446.6  ,       5
23471.1  ,      10
23495.5  ,       5
23519.9  ,       9
23544.3  ,       4
23568.8  ,       3
23593.2  ,       5
23617.6  ,       7
23642.1  ,       3
23666.5  ,       7
23690.9  ,       3
23715.3  ,       3
23739.8  ,       7
23764.2  ,       6
23788.6  ,       8
23813.0  ,       4
23837.5  ,       4
23861.9  ,       5
23886.3  ,       6
23910.7  ,       3
23935.2  ,       6
23959.6  ,       2
23984.0  ,       3
24008.4  ,       2
24032.9  ,       6
24057.3  ,       4
24081.7  ,       6
24106.1  ,       6
24130.6  ,       8
24155.0  ,       4
24179.4  ,       6
24203.8  ,      10
24228.3  ,       5
24252.7  ,       4
24277.1  ,      12
24301.6  ,       2
24326.0  ,       6
24350.4  ,       5
24374.8  ,       4
24399.3  ,       4
24423.7  ,       3
24448.1  ,       8
24472.5  ,       5
24497.0  ,       7
24521.4  ,       6
24545.8  ,       2
24570.2  ,      12
24594.7  ,       4
24619.1  ,       6
24643.5  ,       7
24667.9  ,       6
24692.4  ,       4
24716.8  ,       4
24741.2  ,       7
24765.6  ,       3
24790.1  ,       3
24814.5  ,       3
24838.9  ,       4
24863.4  ,       7
24887.8  ,       7
24912.2  ,       4
24936.6  ,       6
24961.1  ,       7
24985.5  ,       1
25009.9  ,       4
25034.3  ,       5
25058.8  ,       7
25083.2  ,      12
25107.6  ,      11
25132.0  ,       6
25156.5  ,      10
25180.9  ,      12
25205.3  ,       7
25229.7  ,       8
25254.2  ,      10
25278.6  ,       9
25303.0  ,      10
25327.4  ,      10
25351.9  ,       8
25376.3  ,       7
25400.7  ,       9
25425.1  ,       8
25449.6  ,       5
25474.0  ,   15763
