"Target: McGrath_3, Contains DAT files: APB_421484874ESC02700060000_______M2.DAT"
  484.7  ,    1200
  509.1  ,       0
  533.5  ,       0
  557.9  ,       0
  582.4  ,       0
  606.8  ,     116
  631.2  ,       0
  655.6  ,       0
  680.0  ,       0
  704.4  ,     107
  728.8  ,     280
  753.3  ,     210
  777.7  ,     248
  802.1  ,     228
  826.5  ,     218
  850.9  ,     240
  875.3  ,     252
  899.7  ,     285
  924.1  ,     333
  948.6  ,     480
  973.0  ,     580
  997.4  ,     667
 1021.8  ,     761
 1046.2  ,     758
 1070.6  ,     694
 1095.0  ,     673
 1119.5  ,     718
 1143.9  ,     982
 1168.3  ,    1298
 1192.7  ,    1812
 1217.1  ,    2353
 1241.5  ,    2486
 1265.9  ,    2325
 1290.4  ,    1918
 1314.8  ,    1545
 1339.2  ,    1221
 1363.6  ,    1268
 1388.0  ,    1598
 1412.4  ,    2259
 1436.8  ,    2883
 1461.2  ,    3459
 1485.7  ,    3504
 1510.1  ,    3181
 1534.5  ,    2538
 1558.9  ,    2122
 1583.3  ,    1946
 1607.7  ,    2739
 1632.1  ,    4168
 1656.6  ,    6759
 1681.0  ,    9626
 1705.4  ,   11948
 1729.8  ,   12658
 1754.2  ,   11783
 1778.6  ,    9604
 1803.0  ,    6735
 1827.5  ,    4081
 1851.9  ,    2444
 1876.3  ,    1323
 1900.7  ,     748
 1925.1  ,     479
 1949.5  ,     368
 1973.9  ,     330
 1998.3  ,     319
 2022.8  ,     314
 2047.2  ,     264
 2071.6  ,     199
 2096.0  ,     195
 2120.4  ,     186
 2144.8  ,     182
 2169.2  ,     242
 2193.7  ,     302
 2218.1  ,     498
 2242.5  ,     660
 2266.9  ,     811
 2291.3  ,     916
 2315.7  ,     904
 2340.1  ,     751
 2364.6  ,     557
 2389.0  ,     392
 2413.4  ,     284
 2437.8  ,     205
 2462.2  ,     163
 2486.6  ,     175
 2511.0  ,     191
 2535.4  ,     230
 2559.9  ,     269
 2584.3  ,     376
 2608.7  ,     346
 2633.1  ,     329
 2657.5  ,     296
 2681.9  ,     239
 2706.3  ,     156
 2730.8  ,     109
 2755.2  ,     107
 2779.6  ,      76
 2804.0  ,      62
 2828.4  ,      87
 2852.8  ,      77
 2877.2  ,      79
 2901.7  ,      70
 2926.1  ,      92
 2950.5  ,      64
 2974.9  ,      61
 2999.3  ,      68
 3023.7  ,      49
 3048.1  ,      56
 3072.6  ,      41
 3097.0  ,      44
 3121.4  ,      42
 3145.8  ,      38
 3170.2  ,      56
 3194.6  ,      76
 3219.0  ,      92
 3243.4  ,     107
 3267.9  ,     168
 3292.3  ,     151
 3316.7  ,     156
 3341.1  ,     134
 3365.5  ,     154
 3389.9  ,     123
 3414.3  ,      96
 3438.8  ,      73
 3463.2  ,      79
 3487.6  ,     103
 3512.0  ,     137
 3536.4  ,     186
 3560.8  ,     301
 3585.2  ,     439
 3609.7  ,     674
 3634.1  ,     886
 3658.5  ,    1021
 3682.9  ,    1013
 3707.3  ,     999
 3731.7  ,     828
 3756.1  ,     569
 3780.5  ,     434
 3805.0  ,     229
 3829.4  ,     144
 3853.8  ,      87
 3878.2  ,      87
 3902.6  ,      83
 3927.0  ,     110
 3951.4  ,     109
 3975.9  ,     151
 4000.3  ,     167
 4024.7  ,     160
 4049.1  ,     149
 4073.5  ,     119
 4097.9  ,     101
 4122.3  ,      76
 4146.8  ,      48
 4171.2  ,      38
 4195.6  ,      30
 4220.0  ,      34
 4244.4  ,      35
 4268.8  ,      33
 4293.2  ,      26
 4317.6  ,      38
 4342.1  ,      51
 4366.5  ,      58
 4390.9  ,      89
 4415.3  ,      82
 4439.7  ,     121
 4464.1  ,     135
 4488.5  ,     175
 4513.0  ,     130
 4537.4  ,     146
 4561.8  ,     135
 4586.2  ,     102
 4610.6  ,      96
 4635.0  ,      68
 4659.4  ,      68
 4683.9  ,      61
 4708.3  ,      53
 4732.7  ,      44
 4757.1  ,      40
 4781.5  ,      40
 4805.9  ,      35
 4830.3  ,      39
 4854.7  ,      52
 4879.2  ,      57
 4903.6  ,      49
 4928.0  ,      52
 4952.4  ,      42
 4976.8  ,      44
 5001.2  ,      45
 5025.6  ,      51
 5050.1  ,      37
 5074.5  ,      32
 5098.9  ,      42
 5123.3  ,      33
 5147.7  ,      33
 5172.1  ,      41
 5196.5  ,      32
 5221.0  ,      33
 5245.4  ,      41
 5269.8  ,      45
 5294.2  ,      72
 5318.6  ,      66
 5343.0  ,      97
 5367.4  ,     100
 5391.9  ,     101
 5416.3  ,     106
 5440.7  ,     105
 5465.1  ,      83
 5489.5  ,      59
 5513.9  ,      60
 5538.3  ,      59
 5562.7  ,      37
 5587.2  ,      40
 5611.6  ,      39
 5636.0  ,      28
 5660.4  ,      28
 5684.8  ,      44
 5709.2  ,      52
 5733.6  ,      60
 5758.1  ,      65
 5782.5  ,      84
 5806.9  ,      82
 5831.3  ,     104
 5855.7  ,     121
 5880.1  ,     143
 5904.5  ,     149
 5929.0  ,     116
 5953.4  ,     136
 5977.8  ,     117
 6002.2  ,      94
 6026.6  ,      99
 6051.0  ,      93
 6075.4  ,      96
 6099.8  ,     107
 6124.3  ,     148
 6148.7  ,     166
 6173.1  ,     287
 6197.5  ,     538
 6221.9  ,     895
 6246.3  ,    1555
 6270.7  ,    2404
 6295.2  ,    3546
 6319.6  ,    4835
 6344.0  ,    6053
 6368.4  ,    6863
 6392.8  ,    6837
 6417.2  ,    6499
 6441.6  ,    5452
 6466.1  ,    4097
 6490.5  ,    2705
 6514.9  ,    1689
 6539.3  ,     980
 6563.7  ,     527
 6588.1  ,     243
 6612.5  ,     127
 6636.9  ,      81
 6661.4  ,      44
 6685.8  ,      39
 6710.2  ,      48
 6734.6  ,      41
 6759.0  ,      54
 6783.4  ,      57
 6807.8  ,      58
 6832.3  ,     103
 6856.7  ,     142
 6881.1  ,     210
 6905.5  ,     295
 6929.9  ,     443
 6954.3  ,     644
 6978.7  ,     847
 7003.2  ,    1017
 7027.6  ,    1075
 7052.0  ,    1096
 7076.4  ,     981
 7100.8  ,     856
 7125.2  ,     680
 7149.6  ,     474
 7174.0  ,     284
 7198.5  ,     160
 7222.9  ,      89
 7247.3  ,      48
