"Target: McGrath_4, Contains DAT files: APB_421486407ESC02700060000_______M2.DAT"
  485.9  ,    1080
  510.3  ,       0
  534.7  ,       0
  559.1  ,       0
  583.5  ,       0
  607.9  ,     116
  632.4  ,       0
  656.8  ,       0
  681.2  ,       0
  705.6  ,     248
  730.0  ,     279
  754.4  ,     287
  778.8  ,     286
  803.2  ,     259
  827.6  ,     293
  852.0  ,     307
  876.4  ,     320
  900.9  ,     317
  925.3  ,     369
  949.7  ,     547
  974.1  ,     772
  998.5  ,     929
 1022.9  ,    1060
 1047.3  ,    1028
 1071.7  ,     915
 1096.1  ,     830
 1120.5  ,     805
 1144.9  ,    1066
 1169.4  ,    1705
 1193.8  ,    2536
 1218.2  ,    3264
 1242.6  ,    3659
 1267.0  ,    3352
 1291.4  ,    2572
 1315.8  ,    1850
 1340.2  ,    1343
 1364.6  ,    1276
 1389.0  ,    1895
 1413.4  ,    2693
 1437.9  ,    3848
 1462.3  ,    4614
 1486.7  ,    4755
 1511.1  ,    4171
 1535.5  ,    2995
 1559.9  ,    2171
 1584.3  ,    1933
 1608.7  ,    2549
 1633.1  ,    4629
 1657.5  ,    8073
 1682.0  ,   12679
 1706.4  ,   16642
 1730.8  ,   17907
 1755.2  ,   16293
 1779.6  ,   12287
 1804.0  ,    7857
 1828.4  ,    4254
 1852.8  ,    2217
 1877.2  ,    1158
 1901.6  ,     730
 1926.0  ,     496
 1950.5  ,     445
 1974.9  ,     422
 1999.3  ,     412
 2023.7  ,     420
 2048.1  ,     344
 2072.5  ,     314
 2096.9  ,     212
 2121.3  ,     210
 2145.7  ,     228
 2170.1  ,     242
 2194.5  ,     375
 2219.0  ,     627
 2243.4  ,     923
 2267.8  ,    1177
 2292.2  ,    1359
 2316.6  ,    1305
 2341.0  ,    1050
 2365.4  ,     721
 2389.8  ,     503
 2414.2  ,     318
 2438.6  ,     190
 2463.0  ,     208
 2487.5  ,     221
 2511.9  ,     245
 2536.3  ,     327
 2560.7  ,     419
