"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.21    ,  0.13  
MgO     ,  6.98    ,  0.17  
Al2O3   ,  8.18    ,  0.19  
SiO2    , 42.89    ,  0.53  
P2O5    ,  0.83    ,  0.07  
SO3     ,  6.26    ,  0.15  
Cl      ,  1.14    ,  0.04  
K2O     ,  0.51    ,  0.02  
CaO     ,  6.57    ,  0.08  
TiO2    ,  1.29    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  0.30    ,  0.03  
FeO     , 22.20    ,  0.26  
Ni      ,  0.0426  ,  0.0030
Zn      ,  0.0621  ,  0.0025
Br      ,  0.0456  ,  0.0015
